batch_id,variant,weight_profile,psi_lambda,psi_threshold,scenario,profile,runs,positive_runs,negative_runs,detected_true_positive_rate,on_time_true_positive_rate,missed_detection_rate,false_positive_rate,avg_lead_steps,median_lead_steps,min_lead_steps,max_lead_steps,avg_lag_steps
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.28,psi_corruption,high_stress,10,10,0,1.0,1.0,0.0,0.0,10.3,10.0,9.0,12.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,async_message_loss,low_stress,10,0,10,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,async_message_loss,mid_stress,10,0,10,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,async_message_loss,high_stress,10,10,0,1.0,1.0,0.0,0.0,13.4,13.0,12.0,15.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,federation_bridge_stress,low_stress,10,0,10,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,federation_bridge_stress,mid_stress,10,0,10,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,federation_bridge_stress,high_stress,10,10,0,1.0,1.0,0.0,0.0,8.2,8.0,7.0,9.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,federation_cluster_attack,low_stress,10,10,0,1.0,1.0,0.0,0.0,12.9,13.0,8.0,16.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,federation_cluster_attack,mid_stress,10,10,0,1.0,1.0,0.0,0.0,6.9,7.0,5.0,8.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,federation_cluster_attack,high_stress,10,10,0,1.0,1.0,0.0,0.0,8.2,8.0,7.0,9.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,psi_corruption,low_stress,10,10,0,1.0,1.0,0.0,0.0,11.0,10.0,10.0,14.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,psi_corruption,mid_stress,10,10,0,1.0,1.0,0.0,0.0,5.9,6.0,5.0,7.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,psi_corruption,high_stress,10,10,0,1.0,1.0,0.0,0.0,8.4,8.0,7.0,10.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.32,async_message_loss,low_stress,10,0,10,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.32,async_message_loss,mid_stress,10,0,10,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.32,async_message_loss,high_stress,10,10,0,1.0,1.0,0.0,0.0,11.3,11.0,10.0,12.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.32,federation_bridge_stress,low_stress,10,0,10,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.32,federation_bridge_stress,mid_stress,10,0,10,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.32,federation_bridge_stress,high_stress,10,10,0,1.0,1.0,0.0,0.0,6.6,7.0,5.0,8.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.32,federation_cluster_attack,low_stress,10,10,0,1.0,1.0,0.0,0.0,10.2,9.0,7.0,16.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.32,federation_cluster_attack,mid_stress,10,10,0,1.0,1.0,0.0,0.0,5.2,5.0,4.0,6.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.32,federation_cluster_attack,high_stress,10,10,0,1.0,1.0,0.0,0.0,6.8,7.0,6.0,8.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.32,psi_corruption,low_stress,10,10,0,1.0,1.0,0.0,0.0,7.4,6.0,4.0,14.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.32,psi_corruption,mid_stress,10,10,0,1.0,1.0,0.0,0.0,4.2,4.0,3.0,6.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.32,psi_corruption,high_stress,10,10,0,1.0,1.0,0.0,0.0,6.9,7.0,6.0,8.0,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.34,async_message_loss,low_stress,10,0,10,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.34,async_message_loss,mid_stress,10,0,10,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
