batch_id,variant,weight_profile,psi_lambda,psi_threshold,scenario,profile,run_index,seed,event_observed,first_event_step,detect_step,lead_steps,psi_score,non_regime_score,term_t,term_d,term_g,term_s,term_regime,term_variance,regime_share_of_score,collapse_share_at_detect,s_network_at_detect,cluster_variance_at_detect,regime_weight_at_detect
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,psi_corruption,mid_stress,5,8405,1,61,54,7,0.306836,0.291836,0.061397,0.075484,0.001073,0.151616,0.015,0.002266,0.048886,0.183333,0.241918,0.022658,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,psi_corruption,mid_stress,6,8406,1,57,52,5,0.326636,0.261636,0.053997,0.07497,1.2e-05,0.131368,0.065,0.001288,0.198998,0.2,0.343161,0.012884,0.65
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,psi_corruption,mid_stress,7,8407,1,58,52,6,0.335354,0.270354,0.059141,0.0761,0.000422,0.13354,0.065,0.00115,0.193825,0.25,0.332298,0.011504,0.65
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,psi_corruption,mid_stress,8,8408,1,60,55,5,0.302821,0.287821,0.056439,0.074794,0.000847,0.153971,0.015,0.00177,0.049534,0.116667,0.230144,0.017696,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,psi_corruption,mid_stress,9,8409,1,61,54,7,0.303769,0.288769,0.05775,0.075165,0.00079,0.152781,0.015,0.002284,0.04938,0.15,0.236097,0.022841,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,psi_corruption,high_stress,0,8410,1,24,17,7,0.310629,0.295629,0.091853,0.03468,0.098483,0.069876,0.015,0.000737,0.048289,0.0,0.650618,0.007365,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,psi_corruption,high_stress,1,8411,1,26,17,9,0.310182,0.295182,0.08963,0.035329,0.096643,0.072873,0.015,0.000708,0.048359,0.0,0.635636,0.00708,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,psi_corruption,high_stress,2,8412,1,25,17,8,0.300689,0.285689,0.088235,0.035221,0.093995,0.067747,0.015,0.000491,0.049885,0.0,0.661267,0.004909,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,psi_corruption,high_stress,3,8413,1,24,15,9,0.302797,0.287797,0.085376,0.038777,0.092247,0.070905,0.015,0.000492,0.049538,0.0,0.645477,0.004921,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,psi_corruption,high_stress,4,8414,1,23,15,8,0.303659,0.288659,0.089552,0.037503,0.093576,0.06722,0.015,0.000808,0.049397,0.0,0.663898,0.008082,0.15
