batch_id,variant,weight_profile,psi_lambda,psi_threshold,w_t,w_d,w_g,w_s,w_r,runs,positive_runs,negative_runs,detected_true_positive_rate,on_time_true_positive_rate,missed_detection_rate,false_positive_rate,avg_lead_steps,median_lead_steps,min_lead_steps,max_lead_steps,avg_lag_steps,accepted_candidate,target_threshold_candidate,recommended_independent_candidate,recommended_strict_ablation_candidate
grand_sim_v0_4,no_regime_renormalized,v02_default,0.1,0.18,0.277778,0.277778,0.222222,0.222222,0.0,120,80,40,1.0,1.0,0.0,1.0,52.1625,57.0,23.0,99.0,0.0,0,0,0,0
grand_sim_v0_4,no_regime_renormalized,v02_default,0.1,0.2,0.277778,0.277778,0.222222,0.222222,0.0,120,80,40,1.0,1.0,0.0,1.0,52.1625,57.0,23.0,99.0,0.0,0,0,0,0
grand_sim_v0_4,no_regime_renormalized,v02_default,0.1,0.22,0.277778,0.277778,0.222222,0.222222,0.0,120,80,40,1.0,1.0,0.0,1.0,52.1625,57.0,23.0,99.0,0.0,0,0,0,0
grand_sim_v0_4,no_regime_renormalized,v02_default,0.1,0.24,0.277778,0.277778,0.222222,0.222222,0.0,120,80,40,1.0,1.0,0.0,0.25,22.9375,23.0,7.0,67.0,0.0,0,0,0,0
grand_sim_v0_4,no_regime_renormalized,v02_default,0.1,0.26,0.277778,0.277778,0.222222,0.222222,0.0,120,80,40,1.0,1.0,0.0,0.0,15.0,15.0,6.0,23.0,0.0,1,0,0,0
grand_sim_v0_4,no_regime_renormalized,v02_default,0.1,0.28,0.277778,0.277778,0.222222,0.222222,0.0,120,80,40,1.0,1.0,0.0,0.0,12.5125,12.0,5.0,19.0,0.0,1,0,0,0
grand_sim_v0_4,no_regime_renormalized,v02_default,0.1,0.3,0.277778,0.277778,0.222222,0.222222,0.0,120,80,40,1.0,1.0,0.0,0.0,10.65,10.0,4.0,17.0,0.0,1,1,0,0
grand_sim_v0_4,no_regime_renormalized,v02_default,0.1,0.32,0.277778,0.277778,0.222222,0.222222,0.0,120,80,40,1.0,1.0,0.0,0.0,8.8625,8.0,3.0,15.0,0.0,1,0,0,0
grand_sim_v0_4,no_regime_renormalized,v02_default,0.1,0.34,0.277778,0.277778,0.222222,0.222222,0.0,120,80,40,1.0,1.0,0.0,0.0,5.7625,6.0,1.0,12.0,0.0,1,0,0,0
grand_sim_v0_4,no_regime_renormalized,v02_default,0.1,0.36,0.277778,0.277778,0.222222,0.222222,0.0,120,80,40,1.0,0.5875,0.0,0.0,5.531915,5.0,0.0,11.0,4.30303,0,0,0,0
grand_sim_v0_4,no_regime_renormalized,v02_default,0.1,0.38,0.277778,0.277778,0.222222,0.222222,0.0,120,80,40,0.875,0.5,0.125,0.0,5.35,5.0,3.0,10.0,9.4,0,0,0,0
grand_sim_v0_4,no_regime_renormalized,v02_default,0.1,0.4,0.277778,0.277778,0.222222,0.222222,0.0,120,80,40,0.75,0.5,0.25,0.0,4.275,4.0,2.0,8.0,7.6,0,0,0,0
grand_sim_v0_4,no_regime_renormalized,v02_default,0.1,0.42,0.277778,0.277778,0.222222,0.222222,0.0,120,80,40,0.75,0.5,0.25,0.0,3.35,3.0,1.0,7.0,11.4,0,0,0,0
grand_sim_v0_4,no_regime_renormalized,v02_default,0.1,0.44,0.277778,0.277778,0.222222,0.222222,0.0,120,80,40,0.75,0.5,0.25,0.0,2.45,2.0,0.0,6.0,15.8,0,0,0,0
grand_sim_v0_4,no_regime_renormalized,v02_default,0.1,0.46,0.277778,0.277778,0.222222,0.222222,0.0,120,80,40,0.75,0.5,0.25,0.0,1.675,1.0,0.0,5.0,22.05,0,0,0,0
grand_sim_v0_4,no_regime_renormalized,v02_default,0.1,0.48,0.277778,0.277778,0.222222,0.222222,0.0,120,80,40,0.75,0.45,0.25,0.0,1.0,0.0,0.0,4.0,25.0,0,0,0,0
grand_sim_v0_4,no_regime_renormalized,v02_default,0.1,0.5,0.277778,0.277778,0.222222,0.222222,0.0,120,80,40,0.75,0.3,0.25,0.0,0.875,0.0,0.0,3.0,22.722222,0,0,0,0
grand_sim_v0_4,no_regime_renormalized,v02_default,0.1,0.52,0.277778,0.277778,0.222222,0.222222,0.0,120,80,40,0.5375,0.1375,0.4625,0.0,1.0,1.0,0.0,2.0,6.0,0,0,0,0
grand_sim_v0_4,no_regime_renormalized,v02_default,0.1,0.54,0.277778,0.277778,0.222222,0.222222,0.0,120,80,40,0.5,0.1125,0.5,0.0,0.444444,0.0,0.0,1.0,2.129032,0,0,0,0
grand_sim_v0_4,no_regime_renormalized,v02_default,0.1,0.56,0.277778,0.277778,0.222222,0.222222,0.0,120,80,40,0.5,0.05,0.5,0.0,0.0,0.0,0.0,0.0,2.722222,0,0,0,0
grand_sim_v0_4,no_regime_renormalized,v02_default,0.1,0.58,0.277778,0.277778,0.222222,0.222222,0.0,120,80,40,0.5,0.0,0.5,0.0,0.0,0.0,,,3.55,0,0,0,0
grand_sim_v0_4,no_regime_renormalized,v02_default,0.1,0.6,0.277778,0.277778,0.222222,0.222222,0.0,120,80,40,0.5,0.0,0.5,0.0,0.0,0.0,,,4.725,0,0,0,0
grand_sim_v0_4,with_regime_original,disturbance_heavy,0.1,0.1,0.2,0.35,0.15,0.2,0.1,120,80,40,1.0,1.0,0.0,1.0,52.1625,57.0,23.0,99.0,0.0,0,0,0,0
grand_sim_v0_4,with_regime_original,disturbance_heavy,0.1,0.12,0.2,0.35,0.15,0.2,0.1,120,80,40,1.0,1.0,0.0,1.0,52.1625,57.0,23.0,99.0,0.0,0,0,0,0
grand_sim_v0_4,with_regime_original,disturbance_heavy,0.1,0.14,0.2,0.35,0.15,0.2,0.1,120,80,40,1.0,1.0,0.0,1.0,52.1625,57.0,23.0,99.0,0.0,0,0,0,0
grand_sim_v0_4,with_regime_original,disturbance_heavy,0.1,0.16,0.2,0.35,0.15,0.2,0.1,120,80,40,1.0,1.0,0.0,1.0,52.1625,57.0,23.0,99.0,0.0,0,0,0,0
grand_sim_v0_4,with_regime_original,disturbance_heavy,0.1,0.18,0.2,0.35,0.15,0.2,0.1,120,80,40,1.0,1.0,0.0,1.0,52.1625,57.0,23.0,99.0,0.0,0,0,0,0
grand_sim_v0_4,with_regime_original,disturbance_heavy,0.1,0.2,0.2,0.35,0.15,0.2,0.1,120,80,40,1.0,1.0,0.0,1.0,52.1625,57.0,23.0,99.0,0.0,0,0,0,0
grand_sim_v0_4,with_regime_original,disturbance_heavy,0.1,0.22,0.2,0.35,0.15,0.2,0.1,120,80,40,1.0,1.0,0.0,0.125,23.6375,25.0,9.0,67.0,0.0,0,0,0,0
grand_sim_v0_4,with_regime_original,disturbance_heavy,0.1,0.24,0.2,0.35,0.15,0.2,0.1,120,80,40,1.0,1.0,0.0,0.0,15.6875,14.0,8.0,25.0,0.0,1,0,0,0
grand_sim_v0_4,with_regime_original,disturbance_heavy,0.1,0.26,0.2,0.35,0.15,0.2,0.1,120,80,40,1.0,1.0,0.0,0.0,12.9125,11.0,7.0,23.0,0.0,1,0,0,0
grand_sim_v0_4,with_regime_original,disturbance_heavy,0.1,0.28,0.2,0.35,0.15,0.2,0.1,120,80,40,1.0,1.0,0.0,0.0,10.75,9.0,5.0,20.0,0.0,1,0,0,0
grand_sim_v0_4,with_regime_original,disturbance_heavy,0.1,0.3,0.2,0.35,0.15,0.2,0.1,120,80,40,1.0,1.0,0.0,0.0,8.9875,8.0,5.0,18.0,0.0,1,1,0,0
grand_sim_v0_4,with_regime_original,disturbance_heavy,0.1,0.32,0.2,0.35,0.15,0.2,0.1,120,80,40,1.0,1.0,0.0,0.0,7.3,6.0,3.0,16.0,0.0,1,0,0,0
grand_sim_v0_4,with_regime_original,disturbance_heavy,0.1,0.34,0.2,0.35,0.15,0.2,0.1,120,80,40,1.0,1.0,0.0,0.0,5.4125,5.0,2.0,16.0,0.0,1,0,0,0
grand_sim_v0_4,with_regime_original,disturbance_heavy,0.1,0.36,0.2,0.35,0.15,0.2,0.1,120,80,40,1.0,1.0,0.0,0.0,4.75,4.0,1.0,15.0,0.0,1,0,0,0
grand_sim_v0_4,with_regime_original,disturbance_heavy,0.1,0.38,0.2,0.35,0.15,0.2,0.1,120,80,40,1.0,1.0,0.0,0.0,3.9375,4.0,0.0,12.0,0.0,1,0,0,0
grand_sim_v0_4,with_regime_original,disturbance_heavy,0.1,0.4,0.2,0.35,0.15,0.2,0.1,120,80,40,1.0,0.675,0.0,0.0,1.259259,1.0,0.0,4.0,2.153846,0,0,0,0
grand_sim_v0_4,with_regime_original,disturbance_heavy,0.1,0.42,0.2,0.35,0.15,0.2,0.1,120,80,40,0.8625,0.5,0.1375,0.0,1.225,1.0,0.0,3.0,9.551724,0,0,0,0
grand_sim_v0_4,with_regime_original,disturbance_heavy,0.1,0.44,0.2,0.35,0.15,0.2,0.1,120,80,40,0.75,0.4875,0.25,0.0,0.846154,1.0,0.0,3.0,9.238095,0,0,0,0
grand_sim_v0_4,with_regime_original,disturbance_heavy,0.1,0.46,0.2,0.35,0.15,0.2,0.1,120,80,40,0.75,0.325,0.25,0.0,0.653846,0.0,0.0,3.0,9.176471,0,0,0,0
grand_sim_v0_4,with_regime_original,disturbance_heavy,0.1,0.48,0.2,0.35,0.15,0.2,0.1,120,80,40,0.75,0.175,0.25,0.0,0.785714,1.0,0.0,2.0,10.630435,0,0,0,0
grand_sim_v0_4,with_regime_original,disturbance_heavy,0.1,0.5,0.2,0.35,0.15,0.2,0.1,120,80,40,0.75,0.1375,0.25,0.0,0.272727,0.0,0.0,1.0,15.204082,0,0,0,0
grand_sim_v0_4,with_regime_original,disturbance_heavy,0.1,0.52,0.2,0.35,0.15,0.2,0.1,120,80,40,0.55,0.025,0.45,0.0,0.0,0.0,0.0,0.0,6.333333,0,0,0,0
grand_sim_v0_4,with_regime_original,disturbance_heavy,0.1,0.54,0.2,0.35,0.15,0.2,0.1,120,80,40,0.5,0.0,0.5,0.0,0.0,0.0,,,2.45,0,0,0,0
grand_sim_v0_4,with_regime_original,disturbance_heavy,0.1,0.56,0.2,0.35,0.15,0.2,0.1,120,80,40,0.5,0.0,0.5,0.0,0.0,0.0,,,3.625,0,0,0,0
grand_sim_v0_4,with_regime_original,disturbance_heavy,0.1,0.58,0.2,0.35,0.15,0.2,0.1,120,80,40,0.5,0.0,0.5,0.0,0.0,0.0,,,5.175,0,0,0,0
grand_sim_v0_4,with_regime_original,disturbance_heavy,0.1,0.6,0.2,0.35,0.15,0.2,0.1,120,80,40,0.5,0.0,0.5,0.0,0.0,0.0,,,7.125,0,0,0,0
grand_sim_v0_4,no_regime_ablation,disturbance_heavy,0.1,0.1,0.2,0.35,0.15,0.2,0.0,120,80,40,1.0,1.0,0.0,1.0,52.1625,57.0,23.0,99.0,0.0,0,0,0,0
grand_sim_v0_4,no_regime_ablation,disturbance_heavy,0.1,0.12,0.2,0.35,0.15,0.2,0.0,120,80,40,1.0,1.0,0.0,1.0,52.1625,57.0,23.0,99.0,0.0,0,0,0,0
grand_sim_v0_4,no_regime_ablation,disturbance_heavy,0.1,0.14,0.2,0.35,0.15,0.2,0.0,120,80,40,1.0,1.0,0.0,1.0,52.1625,57.0,23.0,99.0,0.0,0,0,0,0
grand_sim_v0_4,no_regime_ablation,disturbance_heavy,0.1,0.16,0.2,0.35,0.15,0.2,0.0,120,80,40,1.0,1.0,0.0,1.0,52.1625,57.0,23.0,99.0,0.0,0,0,0,0
grand_sim_v0_4,no_regime_ablation,disturbance_heavy,0.1,0.18,0.2,0.35,0.15,0.2,0.0,120,80,40,1.0,1.0,0.0,1.0,52.1625,57.0,23.0,99.0,0.0,0,0,0,0
grand_sim_v0_4,no_regime_ablation,disturbance_heavy,0.1,0.2,0.2,0.35,0.15,0.2,0.0,120,80,40,1.0,1.0,0.0,0.65,34.9875,27.0,11.0,67.0,0.0,0,0,0,0
