batch_id,variant,weight_profile,psi_lambda,psi_threshold,w_t,w_d,w_g,w_s,w_r,scenario,profile,run_index,seed,event_observed,first_event_step,detect_step,detected_before_or_at_event,false_positive,lead_steps,lag_steps
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_cluster_attack,high_stress,6,8386,1,25,0,1,0,25,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_cluster_attack,high_stress,7,8387,1,26,0,1,0,26,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_cluster_attack,high_stress,8,8388,1,25,0,1,0,25,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,federation_cluster_attack,high_stress,9,8389,1,28,0,1,0,28,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,psi_corruption,low_stress,0,8390,1,87,0,1,0,87,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,psi_corruption,low_stress,1,8391,1,87,0,1,0,87,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,psi_corruption,low_stress,2,8392,1,86,0,1,0,86,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,psi_corruption,low_stress,3,8393,1,87,0,1,0,87,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,psi_corruption,low_stress,4,8394,1,88,0,1,0,88,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,psi_corruption,low_stress,5,8395,1,87,0,1,0,87,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,psi_corruption,low_stress,6,8396,1,87,0,1,0,87,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,psi_corruption,low_stress,7,8397,1,87,0,1,0,87,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,psi_corruption,low_stress,8,8398,1,88,0,1,0,88,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,psi_corruption,low_stress,9,8399,1,87,0,1,0,87,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,psi_corruption,mid_stress,0,8400,1,60,0,1,0,60,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,psi_corruption,mid_stress,1,8401,1,61,0,1,0,61,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,psi_corruption,mid_stress,2,8402,1,61,0,1,0,61,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,psi_corruption,mid_stress,3,8403,1,61,0,1,0,61,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,psi_corruption,mid_stress,4,8404,1,59,0,1,0,59,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,psi_corruption,mid_stress,5,8405,1,61,0,1,0,61,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,psi_corruption,mid_stress,6,8406,1,57,0,1,0,57,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,psi_corruption,mid_stress,7,8407,1,58,0,1,0,58,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,psi_corruption,mid_stress,8,8408,1,60,0,1,0,60,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,psi_corruption,mid_stress,9,8409,1,61,0,1,0,61,
