run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
23,64,random,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.979,0.841,0.738,0.67,0.738,100,0,,False,True,0.0,none,0,0,0
24,65,random,500,True,True,0.993,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.977,0.834,0.733,0.674,0.74,100,0,,False,True,0.0,none,0,0,0
25,66,random,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.981,0.845,0.747,0.684,0.755,100,0,,False,True,0.0,none,0,0,0
26,67,random,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.992,0.873,0.762,0.708,0.771,100,0,160,True,False,0.0,none,0,0,0
27,68,random,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.992,0.862,0.746,0.687,0.751,100,0,190,True,False,0.0,none,0,0,0
28,69,random,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.979,0.841,0.747,0.692,0.747,100,0,,False,True,0.0,none,0,0,0
29,70,random,500,True,True,0.99,1.0,1.0,0,2,0.983,0.0,0,0,0.05,0.994,0.884,0.769,0.712,0.769,100,0,170,True,False,0.0,none,0,0,0
30,71,random,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.985,0.864,0.749,0.697,0.758,100,0,190,True,False,0.0,none,0,0,0
31,72,random,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.99,0.871,0.755,0.696,0.77,100,0,150,True,False,0.0,none,0,0,0
32,73,random,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.992,0.866,0.744,0.685,0.745,100,0,,False,True,0.0,none,0,0,0
33,74,random,500,True,True,0.994,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.984,0.856,0.746,0.696,0.748,100,0,,False,True,0.0,none,0,0,0
34,75,random,500,True,True,0.999,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.968,0.821,0.735,0.682,0.735,100,0,,False,True,0.0,none,0,0,0
35,76,random,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.987,0.849,0.716,0.665,0.731,100,0,,False,True,0.0,none,0,0,0
36,77,random,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.964,0.813,0.711,0.659,0.711,100,0,,False,True,0.0,none,0,0,0
37,78,random,500,True,True,0.998,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.992,0.878,0.758,0.706,0.769,100,0,170,True,False,0.0,none,0,0,0
38,79,random,500,True,True,0.995,1.0,1.0,0,1,1.0,0.333,3,1,0.05,0.954,0.798,0.702,0.661,0.702,100,0,,False,True,0.0,none,0,0,0
