run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
39,80,scale-free,500,True,True,0.666,1.0,1.0,0,1,1.0,0.733,15,11,0.0,0.34,0.317,0.34,0.317,0.34,100,0,,False,True,0.0,none,0,0,0
40,81,scale-free,500,True,True,0.942,1.0,1.0,0,1,1.0,0.5,2,1,0.0,0.596,0.57,0.596,0.57,0.596,100,0,,False,True,0.0,none,0,0,0
41,82,scale-free,500,True,True,0.873,1.0,1.0,0,1,1.0,0.5,4,2,0.0,0.475,0.474,0.475,0.474,0.475,100,0,,False,True,0.0,none,0,0,0
42,83,scale-free,500,True,True,0.772,1.0,1.0,0,1,1.0,0.833,12,10,0.0,0.484,0.46,0.484,0.46,0.484,100,0,,False,True,0.0,none,0,0,0
43,84,scale-free,500,True,True,0.634,1.0,1.0,0,1,1.0,0.938,16,15,0.0,0.315,0.294,0.315,0.294,0.315,100,0,,False,True,0.0,none,0,0,0
44,85,scale-free,500,True,True,0.843,1.0,1.0,0,1,1.0,0.8,5,4,0.0,0.544,0.525,0.544,0.525,0.544,100,0,,False,True,0.0,none,0,0,0
45,86,scale-free,500,True,True,0.779,1.0,1.0,0,1,1.0,0.667,9,6,0.0,0.431,0.42,0.431,0.42,0.431,100,0,,False,True,0.0,none,0,0,0
46,87,scale-free,500,True,True,0.826,1.0,1.0,0,1,1.0,0.875,8,7,0.0,0.509,0.476,0.509,0.476,0.509,100,0,,False,True,0.0,none,0,0,0
47,88,scale-free,500,True,True,0.77,1.0,1.0,0,1,1.0,0.8,10,8,0.0,0.437,0.428,0.437,0.428,0.437,100,0,,False,True,0.0,none,0,0,0
48,89,scale-free,500,True,True,0.712,1.0,1.0,0,1,1.0,0.923,13,12,0.0,0.351,0.349,0.351,0.349,0.351,100,0,,False,True,0.0,none,0,0,0
49,90,scale-free,500,True,True,0.812,1.0,1.0,0,1,1.0,0.857,7,6,0.0,0.492,0.465,0.492,0.465,0.492,100,0,,False,True,0.0,none,0,0,0
50,91,scale-free,500,True,True,0.607,1.0,1.0,0,1,1.0,0.882,17,15,0.0,0.231,0.219,0.231,0.219,0.231,100,0,,False,True,0.0,none,0,0,0
