run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
60,101,small-world,500,False,False,0.471,1.0,1.0,0,1,1.0,0.742,31,23,0.1,0.276,0.239,6,0,0.0,,0,0.262,0.206,0.262,100,0,,False,True,0.0,none,0,0,0
61,102,small-world,500,True,True,0.684,1.0,1.0,0,1,1.0,0.688,16,11,0.1,0.442,0.365,6,0,0.0,,0,0.44,0.355,0.44,100,0,,False,True,0.0,none,0,0,0
62,103,small-world,500,True,True,0.622,1.0,1.0,0,1,1.0,0.773,22,17,0.1,0.37,0.305,6,0,0.0,,0,0.368,0.3,0.368,100,0,,False,True,0.0,none,0,0,0
63,104,small-world,500,False,False,0.441,1.0,1.0,0,1,1.0,0.742,31,23,0.1,0.242,0.212,6,0,0.0,,0,0.242,0.212,0.242,100,0,,False,True,0.0,none,0,0,0
64,105,small-world,500,True,True,0.636,1.0,1.0,0,1,1.0,0.667,18,12,0.1,0.382,0.313,6,0,0.0,,0,0.382,0.311,0.382,100,0,,False,True,0.0,none,0,0,0
65,106,small-world,500,True,True,0.536,1.0,1.0,0,1,1.0,0.731,26,19,0.1,0.27,0.231,6,0,0.0,,0,0.27,0.231,0.27,100,0,,False,True,0.0,none,0,0,0
66,107,small-world,500,True,True,0.555,1.0,1.0,0,1,1.0,0.857,28,24,0.1,0.35,0.298,6,0,0.0,,0,0.338,0.288,0.338,100,0,,False,True,0.0,none,0,0,0
67,108,small-world,500,True,True,0.54,1.0,1.0,0,1,1.0,0.68,25,17,0.1,0.316,0.275,6,0,0.0,,0,0.312,0.259,0.312,100,0,,False,True,0.0,none,0,0,0
68,109,small-world,500,False,False,0.489,1.0,1.0,0,1,1.0,0.714,28,20,0.1,0.25,0.208,6,0,0.0,,0,0.25,0.208,0.25,100,0,,False,True,0.0,none,0,0,0
69,110,small-world,500,True,True,0.684,1.0,1.0,0,1,1.0,0.778,18,14,0.1,0.452,0.372,6,0,0.0,,0,0.418,0.344,0.418,100,0,,False,True,0.0,none,0,0,0
70,111,small-world,500,True,True,0.653,1.0,1.0,0,1,1.0,0.643,14,9,0.1,0.405,0.332,6,0,0.0,,0,0.405,0.332,0.405,100,0,,False,True,0.0,none,0,0,0
71,112,small-world,500,True,True,0.671,1.0,1.0,0,1,1.0,0.833,18,15,0.1,0.451,0.381,6,0,0.0,,0,0.408,0.346,0.408,100,0,,False,True,0.0,none,0,0,0
72,113,small-world,500,False,False,0.4,1.0,1.0,0,1,1.0,0.758,33,25,0.1,0.182,0.151,6,0,0.0,,0,0.182,0.151,0.182,100,0,,False,True,0.0,none,0,0,0
73,114,small-world,500,True,True,0.626,1.0,1.0,0,1,1.0,0.714,21,15,0.1,0.373,0.301,6,0,0.0,,0,0.365,0.298,0.365,100,0,,False,True,0.0,none,0,0,0
74,115,small-world,500,False,False,0.483,1.0,1.0,0,1,1.0,0.68,25,17,0.1,0.203,0.175,6,0,0.0,,0,0.203,0.175,0.203,100,0,,False,True,0.0,none,0,0,0
75,116,small-world,500,False,False,0.433,1.0,1.0,0,1,1.0,0.784,37,29,0.1,0.254,0.216,6,0,0.0,,0,0.249,0.211,0.249,100,0,,False,True,0.0,none,0,0,0
76,117,small-world,500,True,True,0.633,1.0,1.0,0,1,1.0,0.722,18,13,0.1,0.328,0.26,6,0,0.0,,0,0.328,0.26,0.328,100,0,,False,True,0.0,none,0,0,0
77,118,small-world,500,True,True,0.581,1.0,1.0,0,1,1.0,0.682,22,15,0.1,0.384,0.334,6,0,0.0,,0,0.372,0.314,0.372,100,0,,False,True,0.0,none,0,0,0
78,119,small-world,500,True,True,0.562,1.0,1.0,0,1,1.0,0.75,24,18,0.1,0.359,0.316,6,0,0.0,,0,0.359,0.312,0.359,100,0,,False,True,0.0,none,0,0,0
79,120,small-world,500,True,True,0.577,1.0,1.0,0,1,1.0,0.636,22,14,0.1,0.295,0.239,6,0,0.0,,0,0.295,0.239,0.295,100,0,,False,True,0.0,none,0,0,0
80,121,small-world,500,False,False,0.43,1.0,1.0,0,1,1.0,0.719,32,23,0.1,0.191,0.16,6,0,0.0,,0,0.191,0.16,0.191,100,0,,False,True,0.0,none,0,0,0
81,122,small-world,500,True,True,0.607,1.0,1.0,0,1,1.0,0.714,21,15,0.1,0.362,0.311,6,0,0.0,,0,0.362,0.302,0.362,100,0,,False,True,0.0,none,0,0,0
82,123,small-world,500,True,True,0.57,1.0,1.0,0,1,1.0,0.792,24,19,0.1,0.349,0.302,6,0,0.0,,0,0.346,0.297,0.346,100,0,,False,True,0.0,none,0,0,0
83,124,small-world,500,True,True,0.625,1.0,1.0,0,1,1.0,0.714,14,10,0.1,0.325,0.263,6,0,0.0,,0,0.324,0.261,0.324,100,0,,False,True,0.0,none,0,0,0
