disturbance_level,coupling_delay,trust_coupling,run_index,seed,node_a_final_stability,node_b_final_stability,node_a_stability_rate,node_b_stability_rate,node_a_failure,node_b_failure,node_a_recovered,node_b_recovered,node_a_final_trust,node_b_final_trust,propagated_breach,propagated_failure,synchronization_correlation,avg_stability_gap,simultaneous_breach
0.2,0,0.1,2,44,0.9976317051440888,0.9963723906594959,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.5688090929985264,0.01726866025362013,0
0.2,0,0.1,3,45,0.9999983271972444,0.9971701389171171,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.5175727027539611,0.018568272629010178,0
0.2,0,0.1,4,46,0.9999999996783768,0.994429283612237,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.6108487366644398,0.015485932512929063,0
0.2,0,0.1,5,47,0.9999995725159256,0.9760686395920365,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.6034338078991854,0.023785929946348035,0
0.2,0,0.1,6,48,0.9999999902718641,0.9918829141219198,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.18841093771248832,0.035169849882869066,0
0.2,0,0.1,7,49,0.9999967800807557,0.9887966355366014,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.5299549735589106,0.016947721331752142,0
0.2,0,0.1,8,50,0.9999958988271568,0.9684371343477798,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.24336851044083221,0.03786904908778063,0
0.2,0,0.1,9,51,0.9999014061145047,0.9246440015726427,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.39467248544684647,0.046135007723725606,0
0.2,0,0.1,10,52,0.999999999999999,0.9832849361099724,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.6506856379189533,0.014982825187338195,0
0.2,0,0.1,11,53,0.9999999999962639,0.9999596599622675,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.5062989599310667,0.015311394458731222,0
0.2,0,0.1,12,54,0.9969360349366473,0.9854970075724234,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.701562537633584,0.00721599735081415,0
0.2,0,0.1,13,55,0.9999999987431136,0.9959300292151003,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.8841850564631696,0.006846788932424423,0
0.2,0,0.1,14,56,0.9999999983641581,0.9470837739372989,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.7146793905308144,0.014372019552229411,0
0.2,0,0.1,15,57,0.9993179718590532,0.9949456573085312,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.9288301989531471,0.00682533805096997,0
0.2,0,0.1,16,58,0.999999878821018,0.9993978931985099,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.3923289425678037,0.025593315315050873,0
0.2,0,0.1,17,59,0.9999949137881576,0.9996858056755042,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.7563165516672172,0.01716048206099506,0
0.2,0,0.1,18,60,0.9957804030900763,0.8960281787728882,1.0,1.0,0,0,0,0,1.0,0.9947679916608807,0,0,0.41613278175349777,0.0256801111324354,0
0.2,0,0.1,19,61,0.9999930248706055,0.995934006628342,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.5531505304708527,0.017854802086595067,0
0.2,0,0.2,0,42,0.9999999999999989,0.9726281232555023,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.7545480193148716,0.012265808966990123,0
0.2,0,0.2,1,43,0.9741351269631487,0.9819065288516607,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.6038562865567734,0.01774129129424846,0
0.2,0,0.2,2,44,0.9976316774800529,0.9963722954578872,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.5598646589664442,0.01729915609945255,0
0.2,0,0.2,3,45,0.9999983225401367,0.9971700539502008,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.5383527109817069,0.017486418298991648,0
0.2,0,0.2,4,46,0.9999999996923707,0.9949527414428796,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.6354068391843417,0.015097945992257555,0
0.2,0,0.2,5,47,0.9999995725148206,0.9760686396114141,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.6102030740494591,0.02359513849209965,0
0.2,0,0.2,6,48,0.9999999901884505,0.9918828240192261,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.3149433241141116,0.028385232992580466,0
0.2,0,0.2,7,49,0.9999967791181251,0.9887966101638209,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.6053403250940824,0.015470905510849862,0
0.2,0,0.2,8,50,0.9999958163338314,0.9684649029905245,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.2576522561138408,0.03630472744899789,0
0.2,0,0.2,9,51,0.9999013935393074,0.9326254083184375,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.4574596395086461,0.03755870267759557,0
0.2,0,0.2,10,52,0.999999999999999,0.9832858380528586,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.657096549742032,0.014760442238712125,0
0.2,0,0.2,11,53,0.9999999999959938,0.9999596599308322,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.5423496461728524,0.014279704089045638,0
0.2,0,0.2,12,54,0.9969360344569588,0.9854970057588811,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.7022490205104547,0.0070685144483742844,0
