disturbance_level,coupling_delay,trust_coupling,node_a_final_stability,node_b_final_stability,node_a_stability_rate,node_b_stability_rate,node_a_failure,node_b_failure,node_a_recovered,node_b_recovered,propagated_breach,propagated_failure,synchronization_correlation,avg_stability_gap,simultaneous_breach,node_a_final_trust,node_b_final_trust
0.6,1,0.0,0.9581624900481751,0.6464901790633141,0.998,0.21200000000000002,0.0,0.85,0.05,0.35,1.0,0.85,-0.006969171830347851,0.2824428598399834,0.05,0.816256873865416,0.4245380776564122
0.6,1,0.01,0.9806332231497036,0.7270018866873446,0.9984999999999999,0.378,0.0,0.7,0.05,0.55,1.0,0.7,-0.09224849120129382,0.23184597340421803,0.05,0.8885127588381717,0.5537526806289318
0.6,1,0.02,0.9930364311067725,0.8138374292232786,1.0,0.5925,0.0,0.35,0.0,0.95,0.95,0.35,-0.11283395732854504,0.17224530658973097,0.0,0.9506733256840881,0.691280008170718
0.6,1,0.05,0.9985003149262166,0.9607210328310994,1.0,0.959,0.0,0.05,0.0,0.15,0.15,0.05,0.3253421513487172,0.040704643347412195,0.0,0.996298810007554,0.9535700963025808
0.6,1,0.1,0.9987322088125833,0.9863191654194579,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6688146137791262,0.015156139368624788,0.0,1.0,1.0
0.6,1,0.2,0.9987322084379707,0.9868765100512402,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6841346846359909,0.014419780199615994,0.0,1.0,1.0
0.6,2,0.0,0.9585299434173077,0.6460779267459104,0.998,0.23399999999999999,0.0,0.85,0.05,0.35,1.0,0.85,-0.007743012895211602,0.2785614631390411,0.05,0.8151684831561434,0.42418913731751307
0.6,2,0.01,0.9815905321912595,0.726758732583531,0.999,0.381,0.0,0.7,0.05,0.55,1.0,0.7,-0.11474376047805886,0.2280601454816356,0.05,0.888287622107957,0.5535562429527101
0.6,2,0.02,0.9939809707511384,0.8141384797813757,1.0,0.6064999999999999,0.0,0.4,0.0,0.9,0.95,0.4,-0.14026236828807426,0.1691938361101408,0.0,0.9530345329688291,0.6920720133943947
0.6,2,0.05,0.9985141142632035,0.961984091757708,1.0,0.962,0.0,0.05,0.0,0.1,0.15,0.05,0.33550457600314254,0.03969010485230976,0.0,0.9961924034904396,0.9554923451773165
0.6,2,0.1,0.9987293853975192,0.9867494850446313,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6831076225655598,0.015023711393381965,0.0,1.0,1.0
0.6,2,0.2,0.9987293849924036,0.9872210175990525,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6986504989183475,0.014349691196928143,0.0,1.0,1.0
