config,hub_count,balanced,run_index,seed,hub1_final_stability,hub2_final_stability,hub3_final_stability,peripheral_failure_rate,peripheral_failure_peak,sustained_ignition_observed,ignition_onset_step,final_cooperation,final_trust,collapsed
D,2,0,23,65,0.60692346402341,0.6056032777118947,,0.9358620689655173,1.0,1,11,0.6247310372891263,0.6247310372891263,1
D,2,0,24,66,0.6093042000118462,0.6068297433436701,,0.9358620689655173,1.0,1,11,0.6282016749080166,0.6282016749080166,1
D,2,0,25,67,0.6090368528939353,0.6062764591931105,,0.9393103448275862,1.0,1,10,0.6260382602562221,0.6260382602562221,1
D,2,0,26,68,0.6100693272492027,0.6094929109752256,,0.9352873563218391,1.0,1,11,0.6281893992677811,0.6281893992677811,1
D,2,0,27,69,0.6073090146376889,0.6064213098941119,,0.9356321839080459,1.0,1,11,0.6245255308590343,0.6245255308590343,1
D,2,0,28,70,0.6083973733583474,0.6080393152641534,,0.9359770114942529,1.0,1,11,0.6254371618027318,0.6254371618027318,1
D,2,0,29,71,0.6055345371008762,0.607056736105087,,0.9377011494252874,1.0,1,11,0.6233503774119493,0.6233503774119493,1
E,3,0,0,42,0.6233768669027746,0.6198162430139871,0.6210824830262017,0.49637426900584797,0.7017543859649122,0,,0.7397122404094096,0.7397122404094096,0
E,3,0,1,43,0.6236178031783984,0.6214149732108293,0.6202323065302574,0.43298245614035086,0.7017543859649122,0,,0.742631762975269,0.742631762975269,0
E,3,0,2,44,0.6239909491949825,0.6167828213542245,0.6177117546611459,0.4757894736842105,0.7017543859649122,0,,0.7403591603731535,0.7403591603731535,0
E,3,0,3,45,0.623679350669503,0.6178337008080907,0.617951487457706,0.47321637426900587,0.7368421052631579,0,,0.739921740361318,0.739921740361318,0
E,3,0,4,46,0.6205336531479092,0.6207404940434047,0.6228226662163714,0.4967251461988304,0.7719298245614035,0,,0.7357302422775309,0.7357302422775309,0
E,3,0,5,47,0.6214080612501243,0.6176956475953997,0.6209572116573939,0.4752046783625731,0.7017543859649122,0,,0.7388100832321893,0.7388100832321893,0
E,3,0,6,48,0.6224540800987544,0.6182719913239789,0.6205412246422138,0.4831578947368421,0.7192982456140351,0,,0.7378922311118865,0.7378922311118865,0
E,3,0,7,49,0.6226651010700033,0.6182691849776556,0.620777564262503,0.5009356725146199,0.7543859649122807,0,,0.7394127665022574,0.7394127665022574,0
E,3,0,8,50,0.6233525158991419,0.6201161726000014,0.619644718103811,0.5052631578947367,0.7368421052631579,0,,0.7386712580357335,0.7386712580357335,0
E,3,0,9,51,0.6220825126903279,0.6171612449527423,0.6159123820494097,0.5058479532163742,0.7543859649122807,0,,0.7356591142224408,0.7356591142224408,0
E,3,0,10,52,0.6212226498533073,0.6161175082135352,0.6195046000981629,0.4722807017543859,0.7543859649122807,0,,0.7364762383221877,0.7364762383221877,0
E,3,0,11,53,0.6211742339059672,0.6185669772553469,0.6151290140715371,0.504093567251462,0.7719298245614035,0,,0.7401943102992176,0.7401943102992176,0
E,3,0,12,54,0.6249669249598298,0.6177665477287962,0.6169145562642779,0.48713450292397664,0.7017543859649122,0,,0.7395659824552171,0.7395659824552171,0
E,3,0,13,55,0.6239059873784013,0.6148460167249911,0.6174275669476745,0.4686549707602339,0.7017543859649122,0,,0.7381803920746629,0.7381803920746629,0
E,3,0,14,56,0.6226232141835901,0.6161060941264226,0.6181246066137054,0.4908771929824562,0.7543859649122807,0,,0.7369646578440576,0.7369646578440576,0
E,3,0,15,57,0.6235747623469479,0.621334163221551,0.6165615012004139,0.44666666666666666,0.7894736842105263,0,,0.7411219866956708,0.7411219866956708,0
E,3,0,16,58,0.6215027643580836,0.6196160246670014,0.6172289532881066,0.5222222222222221,0.7894736842105263,0,,0.7374720464826364,0.7374720464826364,0
E,3,0,17,59,0.6223472478149419,0.622324794441039,0.6165568626916617,0.4348538011695906,0.7192982456140351,0,,0.7388597888316544,0.7388597888316544,0
E,3,0,18,60,0.6222969394597052,0.6187801399139947,0.618020685764224,0.4768421052631579,0.8245614035087719,0,,0.7404622649855975,0.7404622649855975,0
E,3,0,19,61,0.6216514224988515,0.6220473670573055,0.6166716799337003,0.464093567251462,0.7017543859649122,0,,0.7386887039909855,0.7386887039909855,0
E,3,0,20,62,0.6231567147392534,0.618059736759933,0.6185909585954901,0.476140350877193,0.7017543859649122,0,,0.736368651995564,0.736368651995564,0
E,3,0,21,63,0.6224156520494776,0.6194324198525132,0.6168733196624338,0.46994152046783627,0.7192982456140351,0,,0.7387839879265983,0.7387839879265983,0
E,3,0,22,64,0.6224003561711798,0.6189017028042832,0.6205913769020819,0.48678362573099415,0.7368421052631579,0,,0.7410463461970648,0.7410463461970648,0
E,3,0,23,65,0.6210495521442915,0.6170263454888387,0.6173371892706365,0.47602339181286546,0.7192982456140351,0,,0.7385046395618196,0.7385046395618196,0
