D_hub_cap,run_index,seed,hub_final_stability,hub_min_stability,peripheral_failure_rate,peripheral_failure_peak,sustained_ignition_observed,ignition_onset_step,ignition_duration_steps,final_cooperation,final_trust,collapsed
0.1,10,52,0.9959542985322923,0.89202137136472,0.9364971751412429,1.0,1,16,134,0.15385757480616813,0.15385757480616813,1
0.1,11,53,0.9980057701183624,0.8906399702606187,0.9367231638418078,1.0,1,16,134,0.16521281213923564,0.16521281213923564,1
0.1,12,54,0.9995144093129437,0.8879996678449005,0.9353672316384181,1.0,1,16,134,0.16122370220880927,0.16122370220880927,1
0.1,13,55,0.5322263639792695,0.39809318410113886,0.13254237288135598,0.3559322033898305,0,,0,0.8860069438833887,0.8860069438833887,0
0.1,14,56,0.9950893950876741,0.8956487296376711,0.9354802259887005,1.0,1,16,134,0.15415253670539023,0.15415253670539023,1
0.1,15,57,0.45718217150476465,0.39815584552423594,0.1442937853107345,0.3220338983050847,0,,0,0.9204047878362024,0.9204047878362024,0
0.1,16,58,0.9989955660900947,0.8933094482276686,0.9367231638418078,1.0,1,15,135,0.15344003509049625,0.15344003509049625,1
0.1,17,59,0.9999612667435729,0.8816078300916738,0.9327683615819209,1.0,1,16,134,0.14828927823822333,0.14828927823822333,1
0.1,18,60,0.9962689557587634,0.8988818113603426,0.9354802259887005,1.0,1,16,134,0.15374198733385142,0.15374198733385142,1
0.1,19,61,0.9832836590276404,0.8937370728632523,0.9354802259887005,1.0,1,15,135,0.1530854228094023,0.1530854228094023,1
0.1,20,62,0.9989021001254998,0.9000229572759115,0.9383050847457628,1.0,1,13,137,0.14307254775832454,0.14307254775832454,1
0.1,21,63,0.9973733652419857,0.8863364445646283,0.936045197740113,1.0,1,15,135,0.13949362309305469,0.13949362309305469,1
0.1,22,64,0.9996108777703309,0.8871767712950325,0.9366101694915253,1.0,1,16,134,0.140447169411364,0.140447169411364,1
0.1,23,65,0.9731315575735151,0.8912269707971273,0.936045197740113,1.0,1,14,136,0.14971840089172184,0.14971840089172184,1
0.1,24,66,0.9982468646858257,0.8968167584899874,0.9433898305084745,1.0,1,12,138,0.14789809679849586,0.14789809679849586,1
0.1,25,67,0.4478666670091789,0.41093175409425403,0.17446327683615823,0.3728813559322034,0,,0,0.8893632835184259,0.8893632835184259,0
0.1,26,68,0.999961075012892,0.9013104537814989,0.9386440677966101,1.0,1,13,137,0.13535295777071557,0.13535295777071557,1
0.1,27,69,0.9945375596600169,0.8792936612132648,0.9361581920903954,1.0,1,13,137,0.1355403047503502,0.1355403047503502,1
0.1,28,70,0.4904701495622308,0.4147484747794469,0.16610169491525423,0.3050847457627119,0,,0,0.8523685215153625,0.8523685215153625,0
0.1,29,71,0.9999999691335784,0.8954057202599153,0.9377401129943503,1.0,1,13,137,0.1302274124654408,0.1302274124654408,1
