label,run_index,seed,disturbance_coupling,cognition_coupling,node_a_final_stability,node_b_final_stability,node_a_stability_rate,node_b_stability_rate,node_a_failure,node_b_failure,node_a_recovered,node_b_recovered,node_a_final_trust,node_b_final_trust,propagated_breach,propagated_failure,synchronization_correlation,avg_stability_gap,simultaneous_breach
reverse_asymmetry_a_weak_b_strong,8,50,0.05,0.05,0.9709664677857844,0.9969828930943773,0.98,1.0,0,0,1,0,0.8738639798925397,0.8786627225344805,0,0,0.018067420246231466,0.09479777556290153,0
reverse_asymmetry_a_weak_b_strong,9,51,0.05,0.05,0.7612895293955879,0.9999999938330127,0.4,1.0,1,0,1,0,0.5937182093086498,0.9122528668417006,0,0,-0.07385824842184434,0.21207142202042242,0
reverse_asymmetry_a_weak_b_strong,10,52,0.05,0.05,0.9997816248651596,0.999999999999999,1.0,1.0,0,0,0,0,0.9922658146136835,0.9689185719027709,0,0,0.4625867521396397,0.054470820349139554,0
reverse_asymmetry_a_weak_b_strong,11,53,0.05,0.05,0.8475914327751797,0.9999999999980601,0.94,1.0,0,0,1,0,0.6896165878016113,1.0,0,0,0.3793415352698729,0.07212912126146255,0
reverse_asymmetry_a_weak_b_strong,12,54,0.05,0.05,0.8227407855496602,0.9999999999999987,0.87,1.0,0,0,1,0,0.615760013020949,0.9995277284122913,0,0,0.18439514525951575,0.09968725440279089,0
reverse_asymmetry_a_weak_b_strong,13,55,0.05,0.05,0.894447041422423,0.999999999999999,0.83,1.0,0,0,1,0,0.7592124607427776,1.0,0,0,0.12852602509795907,0.11482010676135085,0
reverse_asymmetry_a_weak_b_strong,14,56,0.05,0.05,0.8285975352661168,0.999999999999995,0.98,1.0,0,0,1,0,0.6673693721515077,0.9408388550146817,0,0,0.4262170841183684,0.08673516028500221,0
reverse_asymmetry_a_weak_b_strong,15,57,0.05,0.05,0.7285583148849643,0.999999999999999,0.71,1.0,1,0,1,0,0.5531863041583752,1.0,0,0,0.24147252561781277,0.13546306346260503,0
reverse_asymmetry_a_weak_b_strong,16,58,0.05,0.05,0.9984325763551625,0.9999999999999575,1.0,1.0,0,0,0,0,0.9058590972025753,1.0,0,0,0.31082734459684475,0.055812208472459594,0
reverse_asymmetry_a_weak_b_strong,17,59,0.05,0.05,0.9955119472561564,0.9999999999999979,0.57,1.0,0,0,1,0,0.9374418280197738,1.0,0,0,0.16750458863698883,0.15745125087784076,0
reverse_asymmetry_a_weak_b_strong,18,60,0.05,0.05,0.8104220735728244,0.9939988299076772,0.88,1.0,0,0,1,0,0.6361668476428445,0.8721793201599,0,0,0.14950853007874523,0.10907317152763989,0
reverse_asymmetry_a_weak_b_strong,19,61,0.05,0.05,0.9806409095425155,0.999999999999999,0.95,1.0,0,0,1,0,0.8750369003093987,0.999585885420547,0,0,0.20935305126463608,0.08702188509849991,0
sync_baseline_no_noise,0,42,0.05,0.05,0.9999999999999958,0.999999999999999,1.0,1.0,0,0,0,0,0.9667445239110696,0.962768994998035,0,0,0.9045307723512842,0.003852814144752438,0
sync_baseline_no_noise,1,43,0.05,0.05,0.9851696968399992,0.9999999999730291,1.0,1.0,0,0,0,0,0.870166755901194,1.0,0,0,0.9731294019593293,0.005878921490658166,0
sync_baseline_no_noise,2,44,0.05,0.05,0.9999999776619453,0.9999999999999989,1.0,1.0,0,0,0,0,0.9181509945408097,1.0,0,0,0.9902001252852412,0.0011454622500331147,0
sync_baseline_no_noise,3,45,0.05,0.05,0.9999999999999989,0.999999991481973,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.9895757560014867,0.0010248677403901564,0
sync_baseline_no_noise,4,46,0.05,0.05,0.9999999990439977,0.9998451604640586,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.9358838528350352,0.003569481841261277,0
sync_baseline_no_noise,5,47,0.05,0.05,0.9999999999791749,0.999999999999999,1.0,1.0,0,0,0,0,1.0,1.0,0,0,0.72866687263541,0.01497810437441053,0
sync_baseline_no_noise,6,48,0.05,0.05,0.9999999999987803,0.9999999815689812,1.0,1.0,0,0,0,0,0.9960245068722845,1.0,0,0,0.7639969874386542,0.006647760364748762,0
sync_baseline_no_noise,7,49,0.05,0.05,0.9999999999999974,0.9999999994454005,1.0,1.0,0,0,0,0,0.998705034526906,1.0,0,0,0.9520363588486247,0.003628958166519165,0
