topology,chain_length,k_D,k_C,k_T,activation_threshold,deactivation_threshold,propagation_exponent,neighbor_feedback_strength,intrinsic_decay,run_index,seed,failure_rate,affected_share,cascade_depth,sustained_failure_steps,time_to_collapse,propagated,last_affected_node,survival_cluster_sizes,spatial_distribution,edge_count
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,29,71,0.0,0.10204081632653061,42,8,4,0,42,3|1|10|6|17|7,core_weighted,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,30,72,0.0,0.10204081632653061,41,8,1,0,41,2|1|10|6|17|8,core_weighted,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,31,73,0.0,0.10204081632653061,40,8,3,0,40,2|1|10|6|17|9,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,32,74,0.0,0.10204081632653061,39,8,1,0,39,1|10|6|17|10,core_weighted,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,33,75,0.0,0.08163265306122448,38,8,1,0,38,1|10|6|17|11,core_weighted,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,34,76,0.0,0.08163265306122448,37,8,1,0,37,1|10|6|17|12,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,35,77,0.0,0.061224489795918366,36,8,1,0,36,10|6|17|13,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,36,78,0.0,0.061224489795918366,35,8,1,0,35,9|6|17|14,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,37,79,0.0,0.08163265306122448,49,8,1,0,49,9|6|17|14,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,38,80,0.0,0.061224489795918366,48,8,113,0,48,8|6|32|1,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,39,81,0.0,0.08163265306122448,47,8,1,0,47,7|6|17|14|2,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,40,82,0.0,0.08163265306122448,46,8,4,0,46,5|6|17|14|3,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,41,83,0.0,0.08163265306122448,45,8,1,0,45,5|6|17|14|4,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,42,84,0.0,0.08163265306122448,44,8,4,0,44,3|6|17|14|5,core_weighted,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,43,85,0.0,0.08163265306122448,43,8,1,0,43,2|6|17|14|6,core_weighted,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,44,86,0.0,0.08163265306122448,42,8,4,0,42,2|6|17|14|7,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,45,87,0.0,0.08163265306122448,41,8,1,0,41,1|6|17|14|8,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,46,88,0.0,0.04081632653061224,40,4,113,0,40,6|32|9,core_weighted,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,47,89,0.0,0.061224489795918366,39,5,3,0,39,5|17|14|10,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,48,90,0.0,0.08163265306122448,49,8,1,0,49,4|17|14|10,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.094,49,91,0.0,0.08163265306122448,48,8,1,0,48,4|17|14|10|1,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.096,0,42,0.0,0.12244897959183673,47,8,5,0,47,3|10|12|6|10|2,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.096,1,43,0.0,0.10204081632653061,46,8,45,0,46,2|23|6|10|3,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.096,2,44,0.0,0.12244897959183673,45,8,5,0,45,2|10|12|6|10|4,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.096,3,45,0.0,0.12244897959183673,44,8,5,0,44,1|10|12|6|10|5,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.096,4,46,0.0,0.12244897959183673,49,8,5,0,49,10|12|6|10|5,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.096,5,47,0.0,0.10204081632653061,48,8,102,0,48,22|6|10|5|1,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.096,6,48,0.0,0.12244897959183673,47,8,5,0,47,9|12|6|10|5|2,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.096,7,49,0.0,0.12244897959183673,46,8,6,0,46,7|12|6|10|5|3,network_wide,49
chain,50,0.01,0.02,0.0,0.2,0.1,3.0,0.3,0.096,8,50,0.0,0.12244897959183673,45,8,6,0,45,7|12|6|10|5|4,network_wide,49
