k_D_value,run_index,seed,hub_final_stability,hub_min_stability,peripheral_failure_rate,peripheral_failure_peak,sustained_ignition_observed,ignition_onset_step,ignition_duration_steps,final_cooperation,final_trust,collapsed
0.09,19,61,0.8549778956832146,0.7724079311021054,0.9585310734463277,1.0,1,9,141,0.10740360908453443,0.10740360908453443,1
0.09,20,62,0.8838178422090578,0.7835476477403343,0.9588700564971752,1.0,1,10,140,0.10433600099622135,0.10433600099622135,1
0.09,21,63,0.3567159726508269,0.2922324497577635,0.2031638418079096,0.4576271186440678,0,,0,0.9006185901893944,0.9006185901893944,0
0.09,22,64,0.3552681532982098,0.2519277809358564,0.16790960451977407,0.4915254237288136,0,,0,0.9182252337206833,0.9182252337206833,0
0.09,23,65,0.8372575968795142,0.7671688161662643,0.9549152542372881,1.0,1,10,140,0.09945724855173912,0.09945724855173912,1
0.09,24,66,0.3571125197149636,0.28677579772480855,0.20723163841807912,0.559322033898305,0,,0,0.9033331063526897,0.9033331063526897,0
0.09,25,67,0.3236316788417451,0.24701692356776095,0.17853107344632757,0.3559322033898305,0,,0,0.9146619980160485,0.9146619980160485,0
0.09,26,68,0.9055641564706953,0.7760221116281726,0.9576271186440677,1.0,1,10,140,0.08378946490268287,0.08378946490268287,1
0.09,27,69,0.3428181577548988,0.2666952009071642,0.20983050847457616,0.4745762711864407,0,,0,0.9261121463205524,0.9261121463205524,0
0.09,28,70,0.3296212767947023,0.2456542004375166,0.1848587570621468,0.3898305084745763,0,,0,0.8824872495942859,0.8824872495942859,0
0.09,29,71,0.8524086232288648,0.7342414587811662,0.9561581920903954,1.0,1,10,140,0.09987898372261003,0.09987898372261003,1
0.1,0,42,0.3328235372924127,0.2817583457147076,0.21446327683615796,0.5084745762711864,0,,0,0.9205086428855201,0.9205086428855201,0
0.1,1,43,0.3446119096631607,0.2473802780443774,0.2084745762711864,0.5254237288135594,0,,0,0.937007153133766,0.937007153133766,0
0.1,2,44,0.3560022537670724,0.2630983066600413,0.2014689265536723,0.4915254237288136,0,,0,0.9339280006864024,0.9339280006864024,0
0.1,3,45,0.8574244899491461,0.7628633689782445,0.96045197740113,1.0,1,8,142,0.10420455900070114,0.10420455900070114,1
0.1,4,46,0.8409110905048723,0.7512706594924878,0.96045197740113,1.0,1,8,142,0.1332894737957311,0.1332894737957311,1
0.1,5,47,0.34302453776750297,0.27188916050987777,0.1744632768361583,0.4406779661016949,0,,0,0.923384404966872,0.923384404966872,0
0.1,6,48,0.8510674235977042,0.7515828107210824,0.9583050847457628,1.0,1,9,141,0.0973643009320158,0.0973643009320158,1
0.1,7,49,0.3586205073858597,0.2677454217952987,0.18723163841807902,0.4067796610169492,0,,0,0.9190207287129978,0.9190207287129978,0
0.1,8,50,0.8998838765222464,0.7537268693018141,0.9584180790960453,1.0,1,9,141,0.09304922647447056,0.09304922647447056,1
0.1,9,51,0.8795766951977747,0.7717170219238969,0.9577401129943504,1.0,1,9,141,0.07908169203792478,0.07908169203792478,1
0.1,10,52,0.3417781355768539,0.29667656259567715,0.226327683615819,0.6271186440677966,0,,0,0.9152067924318852,0.9152067924318852,0
0.1,11,53,0.3559792330019251,0.2677926958873956,0.1994350282485876,0.4406779661016949,0,,0,0.917296700427591,0.917296700427591,0
0.1,12,54,0.3741173049570814,0.2530433378786091,0.18485875706214697,0.4576271186440678,0,,0,0.8994995246176505,0.8994995246176505,0
0.1,13,55,0.34979483699512104,0.26909429486984116,0.17943502824858756,0.4406779661016949,0,,0,0.9167255120266454,0.9167255120266454,0
0.1,14,56,0.8644192057062104,0.7688905889554186,0.955593220338983,1.0,1,9,141,0.09386514766815145,0.09386514766815145,1
0.1,15,57,0.331543944163392,0.27160641432001514,0.16621468926553673,0.3728813559322034,0,,0,0.9252336423887969,0.9252336423887969,0
0.1,16,58,0.8641946369350209,0.7381534643205531,0.9592090395480227,1.0,1,9,141,0.09269168696602231,0.09269168696602231,1
0.1,17,59,0.36048202834694315,0.26939935416619043,0.19751412429378534,0.4576271186440678,0,,0,0.9045343064243752,0.9045343064243752,0
0.1,18,60,0.8638459829551359,0.7831730479980892,0.9606779661016951,1.0,1,9,141,0.09938415374752065,0.09938415374752065,1
0.1,19,61,0.8542263904505466,0.7622210870287193,0.9595480225988701,1.0,1,9,141,0.0938329964514494,0.0938329964514494,1
0.1,20,62,0.8826437441532053,0.7827075236811092,0.96045197740113,1.0,1,9,141,0.09315394059583272,0.09315394059583272,1
0.1,21,63,0.3535811862046006,0.2911789108287124,0.21694915254237288,0.5084745762711864,0,,0,0.8914084484032425,0.8914084484032425,0
0.1,22,64,0.3529228255588263,0.25141704137071547,0.19005649717514125,0.4745762711864407,0,,0,0.9040718164014407,0.9040718164014407,0
0.1,23,65,0.8362866208370755,0.7669034057219206,0.9575141242937852,1.0,1,9,141,0.10135711680895465,0.10135711680895465,1
0.1,24,66,0.3560553868820418,0.286219329300623,0.22101694915254233,0.5423728813559322,0,,0,0.8905644655089063,0.8905644655089063,0
0.1,25,67,0.32288512089557436,0.24656217513937154,0.19581920903954805,0.4067796610169492,0,,0,0.9031797478946336,0.9031797478946336,0
0.1,26,68,0.9045066017865702,0.7756488513615549,0.95909604519774,1.0,1,9,141,0.08208790621025124,0.08208790621025124,1
