s_threshold,run_index,seed,trigger_A_fired,sustained_ignition_observed,false_alarm,network_failure_rate,final_cooperation,final_trust
0.25,24,66,0,0,0,0.09822222222222222,0.8453787990258307,0.8453787990258307
0.25,25,67,0,0,0,0.09844444444444445,0.8433881182711612,0.8433881182711612
0.25,26,68,0,0,0,0.09822222222222222,0.8446435625491567,0.8446435625491567
0.25,27,69,0,0,0,0.09822222222222222,0.8437245537028367,0.8437245537028367
0.25,28,70,0,0,0,0.09833333333333333,0.8435486731890097,0.8435486731890097
0.25,29,71,0,0,0,0.09811111111111111,0.8450226935021204,0.8450226935021204
0.3,0,42,0,0,0,0.09866666666666667,0.8443681777909834,0.8443681777909834
0.3,1,43,0,0,0,0.09833333333333333,0.846998193293021,0.846998193293021
0.3,2,44,0,0,0,0.09844444444444445,0.8458779520277508,0.8458779520277508
0.3,3,45,0,0,0,0.09833333333333333,0.8468490722969456,0.8468490722969456
0.3,4,46,0,0,0,0.09811111111111111,0.8412660587223003,0.8412660587223003
0.3,5,47,0,0,0,0.09833333333333333,0.8445137756690925,0.8445137756690925
0.3,6,48,0,0,0,0.09822222222222222,0.8432586754217487,0.8432586754217487
0.3,7,49,0,0,0,0.09833333333333333,0.8444441209146853,0.8444441209146853
0.3,8,50,0,0,0,0.09833333333333333,0.84386939665649,0.84386939665649
0.3,9,51,0,0,0,0.09822222222222222,0.8410654014914253,0.8410654014914253
0.3,10,52,0,0,0,0.09855555555555556,0.8424563964480328,0.8424563964480328
0.3,11,53,0,0,0,0.09822222222222222,0.8458591725901513,0.8458591725901513
0.3,12,54,0,0,0,0.09822222222222222,0.8442972462735363,0.8442972462735363
0.3,13,55,0,0,0,0.09833333333333333,0.8432541815169408,0.8432541815169408
0.3,14,56,0,0,0,0.09833333333333333,0.8424471605298084,0.8424471605298084
0.3,15,57,0,0,0,0.09833333333333333,0.8448242555344777,0.8448242555344777
0.3,16,58,0,0,0,0.09844444444444445,0.8428452489073627,0.8428452489073627
0.3,17,59,0,0,0,0.09844444444444445,0.8440612955158587,0.8440612955158587
0.3,18,60,0,0,0,0.09833333333333333,0.847433854548486,0.847433854548486
0.3,19,61,0,0,0,0.09844444444444445,0.8439446573694452,0.8439446573694452
0.3,20,62,0,0,0,0.09844444444444445,0.8406385945269513,0.8406385945269513
0.3,21,63,0,0,0,0.09844444444444445,0.8437721328994955,0.8437721328994955
0.3,22,64,0,0,0,0.09822222222222222,0.8477974268929304,0.8477974268929304
0.3,23,65,0,0,0,0.09844444444444445,0.8453482492203868,0.8453482492203868
0.3,24,66,0,0,0,0.09822222222222222,0.8453787990258307,0.8453787990258307
0.3,25,67,0,0,0,0.09844444444444445,0.8433881182711612,0.8433881182711612
0.3,26,68,0,0,0,0.09822222222222222,0.8446435625491567,0.8446435625491567
0.3,27,69,0,0,0,0.09822222222222222,0.8437245537028367,0.8437245537028367
0.3,28,70,0,0,0,0.09833333333333333,0.8435486731890097,0.8435486731890097
0.3,29,71,0,0,0,0.09811111111111111,0.8450226935021204,0.8450226935021204
0.35,0,42,0,0,0,0.09866666666666667,0.8443681777909834,0.8443681777909834
0.35,1,43,0,0,0,0.09833333333333333,0.846998193293021,0.846998193293021
0.35,2,44,0,0,0,0.09844444444444445,0.8458779520277508,0.8458779520277508
0.35,3,45,0,0,0,0.09833333333333333,0.8468490722969456,0.8468490722969456
0.35,4,46,0,0,0,0.09811111111111111,0.8412660587223003,0.8412660587223003
0.35,5,47,0,0,0,0.09833333333333333,0.8445137756690925,0.8445137756690925
0.35,6,48,0,0,0,0.09822222222222222,0.8432586754217487,0.8432586754217487
0.35,7,49,0,0,0,0.09833333333333333,0.8444441209146853,0.8444441209146853
0.35,8,50,0,0,0,0.09833333333333333,0.84386939665649,0.84386939665649
0.35,9,51,0,0,0,0.09822222222222222,0.8410654014914253,0.8410654014914253
0.35,10,52,0,0,0,0.09855555555555556,0.8424563964480328,0.8424563964480328
0.35,11,53,0,0,0,0.09822222222222222,0.8458591725901513,0.8458591725901513
0.35,12,54,0,0,0,0.09822222222222222,0.8442972462735363,0.8442972462735363
0.35,13,55,0,0,0,0.09833333333333333,0.8432541815169408,0.8432541815169408
0.35,14,56,0,0,0,0.09833333333333333,0.8424471605298084,0.8424471605298084
0.35,15,57,0,0,0,0.09833333333333333,0.8448242555344777,0.8448242555344777
0.35,16,58,0,0,0,0.09844444444444445,0.8428452489073627,0.8428452489073627
0.35,17,59,0,0,0,0.09844444444444445,0.8440612955158587,0.8440612955158587
0.35,18,60,0,0,0,0.09833333333333333,0.847433854548486,0.847433854548486
0.35,19,61,0,0,0,0.09844444444444445,0.8439446573694452,0.8439446573694452
