run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
19,60,scale-free,500,True,True,0.999,1.0,1.0,0,1,1.0,0.5,2,1,0.05,0.962,0.839,0,0.742,0.684,0.758,100,,190,True,False,0.0,none,0,0,0
20,61,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,2,0,0.05,0.954,0.81,0,0.734,0.665,0.734,100,0,,False,True,0.0,none,0,0,0
21,62,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.97,0.835,0,0.729,0.671,0.73,100,0,,False,True,0.0,none,0,0,0
22,63,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.938,0.792,0,0.722,0.668,0.722,100,0,,False,True,0.0,none,0,0,0
23,64,scale-free,500,True,True,0.994,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.964,0.821,0,0.722,0.66,0.722,100,0,,False,True,0.0,none,0,0,0
24,65,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.985,0.862,0,0.734,0.69,0.769,100,,160,True,False,0.0,none,0,0,0
25,66,scale-free,500,True,True,0.998,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.991,0.881,0,0.747,0.7,0.776,100,,170,True,False,0.0,none,0,0,0
26,67,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.966,0.843,0,0.752,0.69,0.752,100,0,,False,True,0.0,none,0,0,0
27,68,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.983,0.846,0,0.739,0.675,0.739,100,0,,False,True,0.0,none,0,0,0
28,69,scale-free,500,True,True,0.992,1.0,1.0,0,1,1.0,0.0,3,0,0.05,0.959,0.82,0,0.724,0.671,0.724,100,0,,False,True,0.0,none,0,0,0
29,70,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.992,0.883,0,0.76,0.706,0.76,100,,190,True,False,0.0,none,0,0,0
30,71,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.976,0.836,0,0.74,0.669,0.74,100,0,,False,True,0.0,none,0,0,0
31,72,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,2,0,0.05,0.975,0.844,0,0.747,0.678,0.762,100,0,,False,True,0.0,none,0,0,0
32,73,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.974,0.823,0,0.716,0.656,0.716,100,0,,False,True,0.0,none,0,0,0
33,74,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.975,0.842,0,0.743,0.688,0.743,100,0,,False,True,0.0,none,0,0,0
34,75,scale-free,500,True,True,0.995,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.987,0.864,0,0.75,0.697,0.765,100,,190,True,False,0.0,none,0,0,0
35,76,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.96,0.816,0,0.713,0.653,0.721,100,0,,False,True,0.0,none,0,0,0
36,77,scale-free,500,True,True,0.994,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.942,0.8,0,0.721,0.66,0.721,100,0,,False,True,0.0,none,0,0,0
37,78,scale-free,500,True,True,0.995,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.983,0.871,0,0.758,0.71,0.782,100,,140,True,False,0.0,none,0,0,0
