scenario,profile,run_index,seed,step,detect_step,collapse30_event_step,lead_steps,psi_extended,psi_term_regime,psi_term_t,psi_term_d,psi_term_g,psi_term_s,psi_term_variance,collapse_share,S_network,cluster_variance,max_cluster_collapse_share,trigger_A,trigger_A_source,message_loss,phase_divergence
federation_cluster_attack,high_stress,0,9350,30,19,27,8,0.521743,0.0,0.1481,0.025571,0.105095,0.238899,0.004079,0.566667,0.317432,0.040791,0.6,1,C07_PSI_EXTENDED,0.09,0.224897
federation_cluster_attack,low_stress,0,9330,77,80,99,19,0.275592,0.0,0.025261,0.06379,0.0,0.185871,0.000671,0.0,0.468941,0.006712,0.0,0,,0.03,0.235358
federation_cluster_attack,low_stress,0,9330,78,80,99,19,0.285863,0.0,0.027255,0.063879,0.0,0.193966,0.000763,0.0,0.445812,0.007626,0.0,0,,0.03,0.232671
federation_cluster_attack,low_stress,0,9330,79,80,99,19,0.296006,0.0,0.029046,0.064,0.0,0.202117,0.000842,0.0,0.422522,0.008424,0.0,0,,0.03,0.25183
federation_cluster_attack,low_stress,0,9330,80,80,99,19,0.306329,0.0,0.031033,0.063864,0.0,0.210451,0.00098,0.016667,0.39871,0.009801,0.05,1,C07_PSI_EXTENDED,0.03,0.231341
federation_cluster_attack,low_stress,0,9330,81,80,99,19,0.316544,0.0,0.032628,0.063689,0.0,0.219072,0.001155,0.1,0.374079,0.011551,0.3,1,C07_PSI_EXTENDED,0.03,0.236274
federation_cluster_attack,low_stress,0,9330,82,80,99,19,0.327889,0.0,0.035325,0.063767,0.0,0.227578,0.001218,0.1,0.349776,0.012179,0.3,1,C07_PSI_EXTENDED,0.03,0.248824
federation_cluster_attack,low_stress,0,9330,83,80,99,19,0.338462,0.0,0.036821,0.063722,0.0,0.236459,0.001459,0.116667,0.324402,0.014595,0.35,1,C07_PSI_EXTENDED,0.03,0.235358
federation_cluster_attack,low_stress,0,9330,84,80,99,19,0.349967,0.0,0.039298,0.063568,0.0,0.245472,0.001629,0.116667,0.298652,0.016288,0.35,1,C07_PSI_EXTENDED,0.03,0.232671
federation_cluster_attack,low_stress,0,9330,85,80,99,19,0.361389,0.0,0.041367,0.063482,0.0,0.254804,0.001736,0.116667,0.271987,0.017359,0.35,1,C07_PSI_EXTENDED,0.03,0.25183
federation_cluster_attack,low_stress,0,9330,86,80,99,19,0.373091,0.0,0.043376,0.063581,0.0,0.264292,0.001842,0.116667,0.244881,0.018424,0.35,1,C07_PSI_EXTENDED,0.03,0.231341
federation_cluster_attack,low_stress,0,9330,87,80,99,19,0.376873,0.0,0.044279,0.063818,0.0,0.266967,0.001809,0.116667,0.237237,0.018086,0.35,1,C07_PSI_EXTENDED,0.03,0.236274
federation_cluster_attack,low_stress,0,9330,88,80,99,19,0.379693,0.0,0.046316,0.063718,0.0,0.26808,0.001578,0.116667,0.234056,0.015782,0.35,1,C07_PSI_EXTENDED,0.03,0.248824
federation_cluster_attack,low_stress,0,9330,89,80,99,19,0.381103,0.0,0.046745,0.063654,0.0,0.269184,0.00152,0.133333,0.230904,0.015204,0.4,1,C07_PSI_EXTENDED,0.03,0.235358
federation_cluster_attack,low_stress,0,9330,90,80,99,19,0.383573,0.0,0.048274,0.063629,0.0,0.270279,0.001391,0.183333,0.227775,0.013906,0.55,1,C07_PSI_EXTENDED,0.03,0.232671
federation_cluster_attack,low_stress,0,9330,91,80,99,19,0.385788,0.0,0.049404,0.063833,0.0,0.271367,0.001184,0.183333,0.224666,0.01184,0.55,1,C07_PSI_EXTENDED,0.03,0.25183
federation_cluster_attack,low_stress,0,9330,92,80,99,19,0.388502,0.0,0.050738,0.06419,0.0,0.272449,0.001126,0.216667,0.221574,0.011256,0.65,1,C07_PSI_EXTENDED,0.03,0.231341
federation_cluster_attack,low_stress,0,9330,93,80,99,19,0.390898,0.0,0.051444,0.064886,0.0,0.273526,0.001042,0.216667,0.218496,0.010422,0.65,1,C07_PSI_EXTENDED,0.03,0.236274
federation_cluster_attack,low_stress,0,9330,94,80,99,19,0.393953,0.0,0.053536,0.06495,0.0,0.2746,0.000867,0.216667,0.21543,0.008669,0.65,1,C07_PSI_EXTENDED,0.03,0.248824
federation_cluster_attack,low_stress,0,9330,95,80,99,19,0.395441,0.0,0.054007,0.064934,0.0,0.275669,0.000831,0.216667,0.212374,0.008307,0.65,1,C07_PSI_EXTENDED,0.03,0.235358
