scenario,profile,run_index,seed,topology_initial,trigger_A_count,trigger_A_first_step,trigger_A_source,psi_weight_profile,psi_threshold
hub_2_single_hub_failure,low_stress,3,9483,hub_redundant,93,67,C04_S_THRESHOLD,,0.3
hub_2_single_hub_failure,low_stress,4,9484,hub_redundant,91,69,C04_S_THRESHOLD,,0.3
hub_2_single_hub_failure,low_stress,5,9485,hub_redundant,89,71,C04_S_THRESHOLD,,0.3
hub_2_single_hub_failure,low_stress,6,9486,hub_redundant,90,61,C04_S_THRESHOLD,,0.3
hub_2_single_hub_failure,low_stress,7,9487,hub_redundant,88,72,C04_S_THRESHOLD,,0.3
hub_2_single_hub_failure,low_stress,8,9488,hub_redundant,95,57,C04_S_THRESHOLD,,0.3
hub_2_single_hub_failure,low_stress,9,9489,hub_redundant,98,62,C04_S_THRESHOLD,,0.3
hub_2_single_hub_failure,mid_stress,0,9490,hub_redundant,109,51,C04_S_THRESHOLD,,0.3
hub_2_single_hub_failure,mid_stress,1,9491,hub_redundant,116,44,C04_S_THRESHOLD,,0.3
hub_2_single_hub_failure,mid_stress,2,9492,hub_redundant,108,52,C04_S_THRESHOLD,,0.3
hub_2_single_hub_failure,mid_stress,3,9493,hub_redundant,110,50,C04_S_THRESHOLD,,0.3
hub_2_single_hub_failure,mid_stress,4,9494,hub_redundant,116,44,C04_S_THRESHOLD,,0.3
hub_2_single_hub_failure,mid_stress,5,9495,hub_redundant,117,43,C04_S_THRESHOLD,,0.3
hub_2_single_hub_failure,mid_stress,6,9496,hub_redundant,117,43,C04_S_THRESHOLD,,0.3
hub_2_single_hub_failure,mid_stress,7,9497,hub_redundant,109,51,C04_S_THRESHOLD,,0.3
hub_2_single_hub_failure,mid_stress,8,9498,hub_redundant,116,44,C04_S_THRESHOLD,,0.3
hub_2_single_hub_failure,mid_stress,9,9499,hub_redundant,111,49,C04_S_THRESHOLD,,0.3
hub_2_single_hub_failure,high_stress,0,9500,hub_redundant,145,15,C04_S_THRESHOLD,,0.3
hub_2_single_hub_failure,high_stress,1,9501,hub_redundant,143,17,C04_S_THRESHOLD,,0.3
hub_2_single_hub_failure,high_stress,2,9502,hub_redundant,143,17,C04_S_THRESHOLD,,0.3
hub_2_single_hub_failure,high_stress,3,9503,hub_redundant,144,16,C04_S_THRESHOLD,,0.3
hub_2_single_hub_failure,high_stress,4,9504,hub_redundant,143,17,C04_S_THRESHOLD,,0.3
hub_2_single_hub_failure,high_stress,5,9505,hub_redundant,145,15,C04_S_THRESHOLD,,0.3
hub_2_single_hub_failure,high_stress,6,9506,hub_redundant,146,14,C04_S_THRESHOLD,,0.3
hub_2_single_hub_failure,high_stress,7,9507,hub_redundant,144,16,C04_S_THRESHOLD,,0.3
hub_2_single_hub_failure,high_stress,8,9508,hub_redundant,145,15,C04_S_THRESHOLD,,0.3
hub_2_single_hub_failure,high_stress,9,9509,hub_redundant,144,16,C04_S_THRESHOLD,,0.3
hub_3_single_hub_failure,low_stress,0,9510,hub_redundant,97,61,C04_S_THRESHOLD,,0.3
hub_3_single_hub_failure,low_stress,1,9511,hub_redundant,86,74,C04_S_THRESHOLD,,0.3
