batch_id,scenario,profile,run_index,seed,step,detect_step,collapse30_event_step,lead_steps,actual_topology,detected_topology,psi_extended,term_t,term_d,term_g,term_s,term_variance,term_regime,collapse_share,s_network,cluster_variance,trigger_A,trigger_A_source
grand_sim_v0_5,federation_bridge_stress,high_stress,0,9380,24,18,26,8,federation,federation,0.413882,0.11417,0.028155,0.087475,0.181935,0.002147,0.0,0.166667,0.480186,0.021469,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_bridge_stress,high_stress,0,9380,25,18,26,8,federation,federation,0.437586,0.122116,0.028369,0.091127,0.193443,0.002531,0.0,0.266667,0.447307,0.025311,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_bridge_stress,high_stress,0,9380,26,18,26,8,federation,federation,0.46178,0.130707,0.028353,0.095147,0.204582,0.002991,0.0,0.416667,0.415479,0.02991,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_bridge_stress,high_stress,0,9380,27,18,26,8,federation,federation,0.485304,0.139934,0.028297,0.099481,0.214334,0.003258,0.0,0.5,0.387616,0.032578,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_bridge_stress,high_stress,0,9380,28,18,26,8,federation,federation,0.513741,0.148746,0.028345,0.104066,0.22926,0.003323,0.0,0.55,0.344972,0.033231,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_bridge_stress,high_stress,0,9380,29,18,26,8,federation,federation,0.534216,0.155008,0.028419,0.10877,0.238448,0.00357,0.0,0.6,0.31872,0.035701,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_bridge_stress,high_stress,0,9380,30,18,26,8,federation,federation,0.550652,0.162155,0.02997,0.113369,0.242132,0.003026,0.0,0.7,0.308194,0.030257,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_bridge_stress,high_stress,0,9380,31,18,26,8,federation,federation,0.563404,0.166319,0.031215,0.117855,0.245405,0.002611,0.0,0.733333,0.298844,0.026112,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_cluster_attack,high_stress,0,9350,14,19,27,8,federation,federation,0.252252,0.05851,0.027419,0.0638,0.102284,0.000239,0.0,0.0,0.707759,0.002386,0,
grand_sim_v0_5,federation_cluster_attack,high_stress,0,9350,15,19,27,8,federation,federation,0.261149,0.061317,0.027141,0.065448,0.106957,0.000286,0.0,0.0,0.694408,0.002857,0,
grand_sim_v0_5,federation_cluster_attack,high_stress,0,9350,16,19,27,8,federation,federation,0.269486,0.06404,0.026834,0.067365,0.110898,0.00035,0.0,0.0,0.68315,0.003495,0,
grand_sim_v0_5,federation_cluster_attack,high_stress,0,9350,17,19,27,8,federation,federation,0.280023,0.067116,0.026576,0.069531,0.11636,0.00044,0.0,0.0,0.667543,0.004397,0,
grand_sim_v0_5,federation_cluster_attack,high_stress,0,9350,18,19,27,8,federation,federation,0.290123,0.070988,0.026278,0.07196,0.120364,0.000532,0.0,0.0,0.656102,0.005318,0,
grand_sim_v0_5,federation_cluster_attack,high_stress,0,9350,19,19,27,8,federation,federation,0.300745,0.07476,0.02598,0.074696,0.124645,0.000663,0.0,0.0,0.643871,0.006634,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_cluster_attack,high_stress,0,9350,20,19,27,8,federation,federation,0.313679,0.078988,0.025762,0.075325,0.13276,0.000844,0.0,0.0,0.620687,0.008442,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_cluster_attack,high_stress,0,9350,21,19,27,8,federation,federation,0.325884,0.084234,0.025646,0.076366,0.138616,0.001021,0.0,0.0,0.603954,0.010214,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_cluster_attack,high_stress,0,9350,22,19,27,8,federation,federation,0.34209,0.089404,0.025797,0.07788,0.147713,0.001295,0.0,0.016667,0.577961,0.01295,1,C07_PSI_EXTENDED
