run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
85,126,federation,500,True,True,0.838,1.0,1.0,0,1,1.0,0.429,7,3,0.05,0.576,0.463,6,0.576,0.463,0.576,100,0,,False,True,0.0,none,0,0,0
86,127,federation,500,True,True,0.696,1.0,1.0,0,1,1.0,0.75,12,9,0.05,0.366,0.28,6,0.366,0.28,0.366,100,0,,False,True,0.0,none,0,0,0
87,128,federation,500,True,True,0.818,1.0,1.0,0,1,1.0,0.25,4,1,0.05,0.475,0.35,6,0.475,0.35,0.475,100,0,,False,True,0.0,none,0,0,0
88,129,federation,500,True,True,0.745,1.0,1.0,0,1,1.0,0.769,13,10,0.05,0.46,0.353,6,0.46,0.353,0.46,100,0,,False,True,0.0,none,0,0,0
89,130,federation,500,True,True,0.866,1.0,1.0,0,1,1.0,0.667,6,4,0.05,0.598,0.468,6,0.598,0.468,0.598,100,0,,False,True,0.0,none,0,0,0
90,131,federation,500,True,True,0.805,1.0,1.0,0,1,1.0,0.571,7,4,0.05,0.487,0.373,6,0.487,0.373,0.487,100,0,,False,True,0.0,none,0,0,0
91,132,federation,500,True,True,0.756,1.0,1.0,0,1,1.0,0.25,8,2,0.05,0.423,0.317,6,0.423,0.317,0.423,100,0,,False,True,0.0,none,0,0,0
92,133,federation,500,True,True,0.73,1.0,1.0,0,1,1.0,0.636,11,7,0.05,0.451,0.349,6,0.451,0.349,0.451,100,0,,False,True,0.0,none,0,0,0
93,134,federation,500,True,True,0.686,1.0,1.0,0,1,1.0,0.733,15,11,0.05,0.385,0.293,6,0.385,0.293,0.385,100,0,,False,True,0.0,none,0,0,0
94,135,federation,500,True,True,0.735,1.0,1.0,0,1,1.0,0.538,13,7,0.05,0.49,0.381,6,0.49,0.381,0.49,100,0,,False,True,0.0,none,0,0,0
95,136,federation,500,True,True,0.844,1.0,1.0,0,1,1.0,0.5,8,4,0.05,0.513,0.398,6,0.513,0.398,0.513,100,0,,False,True,0.0,none,0,0,0
96,137,federation,500,True,True,0.798,1.0,1.0,0,1,1.0,0.667,9,6,0.05,0.451,0.333,6,0.451,0.333,0.451,100,0,,False,True,0.0,none,0,0,0
97,138,federation,500,True,True,0.852,1.0,1.0,0,2,0.985,0.4,5,2,0.05,0.497,0.368,6,0.497,0.368,0.497,100,0,,False,True,0.0,none,0,0,0
98,139,federation,500,True,True,0.683,1.0,1.0,0,1,1.0,0.706,17,12,0.05,0.421,0.331,6,0.421,0.331,0.421,100,0,,False,True,0.0,none,0,0,0
99,140,federation,500,True,True,0.817,1.0,1.0,0,1,1.0,0.4,5,2,0.05,0.432,0.32,6,0.432,0.32,0.432,100,0,,False,True,0.0,none,0,0,0
100,141,federation,500,True,True,0.729,1.0,1.0,0,1,1.0,0.5,10,5,0.05,0.401,0.298,6,0.401,0.298,0.401,100,0,,False,True,0.0,none,0,0,0
