run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,reconnection_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,time_to_recovery,recovered_network_size,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
83,124,federation,500,True,True,0.962,1.0,1.0,13,7,0.908,0.0,0,0,0.2,0.818,0.746,6,6,1.0,0.379,90.0,66,0.46,0.365,0.46,100,0,,390,58,False,True,0.0,none,0,0,0
84,125,federation,500,True,True,0.946,1.0,1.0,14,8,0.894,0.0,2,0,0.2,0.773,0.704,6,6,1.0,0.271,90.0,70,0.437,0.356,0.437,100,0,,,0,False,True,0.0,none,0,0,0
85,126,federation,500,True,True,0.968,1.0,1.0,21,7,0.913,0.4,5,2,0.2,0.844,0.767,6,6,1.0,0.411,90.0,91,0.412,0.347,0.412,100,0,,370,62,False,True,0.0,none,0,0,0
86,127,federation,500,True,True,0.923,1.0,1.0,24,9,0.881,0.25,4,1,0.2,0.767,0.707,6,6,1.0,0.407,90.0,95,0.361,0.292,0.361,100,0,,,0,False,True,0.0,none,0,0,0
87,128,federation,500,True,True,0.952,1.0,1.0,20,7,0.909,0.5,6,3,0.2,0.786,0.72,6,6,1.0,0.402,91.667,98,0.411,0.33,0.411,100,0,,,0,False,True,0.0,none,0,0,0
88,129,federation,500,True,True,0.964,1.0,1.0,18,7,0.909,0.0,2,0,0.2,0.848,0.797,6,6,1.0,0.5,90.0,64,0.458,0.377,0.458,100,0,,350,60,False,True,0.0,none,0,0,0
89,130,federation,500,True,True,0.951,1.0,1.0,23,9,0.877,0.0,3,0,0.2,0.84,0.774,6,6,1.0,0.495,90.0,109,0.417,0.337,0.417,100,0,,370,57,False,True,0.0,none,0,0,0
90,131,federation,500,True,True,0.953,1.0,1.0,21,7,0.912,0.0,3,0,0.2,0.851,0.79,6,6,1.0,0.429,90.0,84,0.439,0.357,0.439,100,0,,350,56,False,True,0.0,none,0,0,0
91,132,federation,500,True,True,0.924,1.0,1.0,20,7,0.912,0.143,7,1,0.2,0.782,0.707,6,6,1.0,0.318,90.0,85,0.398,0.32,0.398,100,0,,,0,False,True,0.0,none,0,0,0
92,133,federation,500,True,True,0.962,1.0,1.0,25,7,0.91,0.167,6,1,0.2,0.812,0.74,6,6,1.0,0.398,90.0,113,0.38,0.311,0.38,100,0,,400,61,False,True,0.0,none,0,0,0
93,134,federation,500,True,True,0.945,1.0,1.0,24,10,0.866,0.333,3,1,0.2,0.848,0.78,6,6,1.0,0.312,90.0,80,0.408,0.318,0.408,100,0,,360,54,False,True,0.0,none,0,0,0
94,135,federation,500,True,True,0.921,1.0,1.0,21,10,0.868,0.444,9,4,0.2,0.768,0.708,6,6,1.0,0.358,90.0,81,0.386,0.311,0.386,100,0,,,0,False,True,0.0,none,0,0,0
95,136,federation,500,True,True,0.954,1.0,1.0,19,7,0.912,0.0,2,0,0.2,0.805,0.732,6,6,1.0,0.565,90.0,92,0.421,0.345,0.421,100,0,,400,62,False,True,0.0,none,0,0,0
96,137,federation,500,True,True,0.963,1.0,1.0,16,7,0.909,0.0,2,0,0.2,0.842,0.763,6,6,1.0,0.427,90.0,75,0.433,0.345,0.433,100,0,,370,60,False,True,0.0,none,0,0,0
97,138,federation,500,True,True,0.957,1.0,1.0,12,8,0.894,0.333,3,1,0.2,0.833,0.759,6,6,1.0,0.453,90.0,53,0.459,0.37,0.459,100,0,,380,59,False,True,0.0,none,0,0,0
98,139,federation,500,True,True,0.959,1.0,1.0,32,8,0.881,0.25,8,2,0.2,0.866,0.806,6,6,1.0,0.473,90.0,115,0.381,0.316,0.381,100,0,,340,58,False,True,0.0,none,0,0,0
99,140,federation,500,True,True,0.924,1.0,1.0,20,7,0.905,0.2,5,1,0.2,0.741,0.674,6,6,1.0,0.369,90.0,94,0.381,0.31,0.381,100,0,,,0,False,True,0.0,none,0,0,0
100,141,federation,500,True,True,0.955,1.0,1.0,17,7,0.909,0.0,1,0,0.2,0.826,0.755,6,6,1.0,0.41,90.0,78,0.426,0.343,0.426,100,0,,380,60,False,True,0.0,none,0,0,0
