run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,reconnection_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,time_to_recovery,recovered_network_size,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
64,105,scale-free,500,True,True,0.94,1.0,1.0,42,17,0.615,0.0,4,0,0.1,0.766,0.676,6,6,1.0,0.32,91.667,107,0.324,0.222,0.324,100,0,,,0,False,True,0.0,none,0,0,0
65,106,scale-free,500,True,True,0.938,1.0,1.0,37,13,0.821,0.467,15,7,0.1,0.722,0.633,6,6,1.0,0.281,90.0,103,0.264,0.197,0.264,100,0,,,0,False,True,0.0,none,0,0,0
66,107,scale-free,500,True,True,0.898,1.0,1.0,44,16,0.716,0.533,15,8,0.1,0.748,0.665,6,6,1.0,0.33,90.0,112,0.263,0.196,0.263,100,0,,,0,False,True,0.0,none,0,0,0
67,108,scale-free,500,True,True,0.906,1.0,1.0,45,16,0.701,0.278,18,5,0.1,0.712,0.636,6,6,1.0,0.324,90.0,111,0.252,0.166,0.252,100,0,,,0,False,True,0.0,none,0,0,0
68,109,scale-free,500,True,True,0.927,1.0,1.0,39,13,0.768,0.364,11,4,0.1,0.745,0.65,6,6,1.0,0.45,90.0,109,0.289,0.197,0.289,100,0,,,0,False,True,0.0,none,0,0,0
69,110,scale-free,500,True,True,0.777,1.0,1.0,34,24,0.544,0.762,21,16,0.1,0.603,0.559,6,6,1.0,0.125,90.0,96,0.27,0.195,0.27,100,0,,,0,False,True,0.0,none,0,0,0
70,111,scale-free,500,True,True,0.956,1.0,1.0,35,9,0.866,0.333,3,1,0.1,0.791,0.689,6,6,1.0,0.411,90.0,97,0.346,0.234,0.346,100,0,,,0,False,True,0.0,none,0,0,0
71,112,scale-free,500,True,True,0.961,1.0,1.0,37,8,0.894,0.667,12,8,0.1,0.781,0.674,6,6,1.0,0.505,91.667,100,0.301,0.211,0.301,100,0,,,0,False,True,0.0,none,0,0,0
72,113,scale-free,500,True,True,0.812,1.0,1.0,57,37,0.324,0.565,23,13,0.1,0.67,0.641,6,6,1.0,0.163,90.0,129,0.193,0.126,0.193,100,0,,,0,False,True,0.0,none,0,0,0
73,114,scale-free,500,True,True,0.964,1.0,1.0,40,9,0.886,0.429,14,6,0.1,0.821,0.717,6,6,1.0,0.477,90.0,107,0.313,0.239,0.313,100,0,,380,58,False,True,0.0,none,0,0,0
