run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_recovered_node_rate,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,reconnection_rate,signal_propagation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,time_to_recovery,recovered_network_size,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
51,92,scale-free,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,1,0,0.05,0.912,1.0,0.912,6,6,1.0,0.0,1.0,95.0,18,0.721,0.766,0.721,100,0,,140,61,False,True,0.0,none,0,0,0
52,93,scale-free,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,1,0,0.05,0.909,1.0,0.909,6,6,1.0,0.1,1.0,93.333,20,0.689,0.768,0.689,100,0,,180,60,False,True,0.0,none,0,0,0
53,94,scale-free,500,True,True,0.961,1.0,1.0,6,7,0.913,0.0,0,0,0.05,0.913,1.0,0.913,6,6,1.0,0.0,1.0,93.333,18,0.728,0.755,0.728,100,0,,130,61,False,True,0.0,none,0,0,0
54,95,scale-free,500,True,True,0.968,1.0,1.0,6,7,0.908,0.0,0,0,0.05,0.908,1.0,0.908,6,6,1.0,0.0,1.0,91.667,18,0.701,0.765,0.701,100,0,,150,60,False,True,0.0,none,0,0,0
55,96,scale-free,500,True,True,0.97,1.0,1.0,6,7,0.914,0.0,0,0,0.05,0.914,1.0,0.914,6,6,1.0,0.0,1.0,95.0,18,0.705,0.729,0.705,100,0,,150,62,False,True,0.0,none,0,0,0
56,97,scale-free,500,True,True,0.969,1.0,1.0,8,7,0.91,0.25,4,1,0.05,0.91,1.0,0.91,6,6,1.0,0.258,1.0,91.667,32,0.632,0.745,0.632,100,0,,210,60,False,True,0.0,none,0,0,0
57,98,scale-free,500,True,True,0.966,1.0,1.0,9,9,0.882,0.0,1,0,0.05,0.906,0.984,0.906,6,6,1.0,0.071,1.0,91.667,29,0.644,0.744,0.644,100,0,,220,57,False,True,0.0,none,0,0,0
58,99,scale-free,500,True,True,0.968,1.0,1.0,7,8,0.892,0.0,0,0,0.05,0.908,1.0,0.906,6,6,1.0,0.0,1.0,95.0,18,0.665,0.739,0.665,100,0,,190,57,False,True,0.0,none,0,0,0
59,100,scale-free,500,True,True,0.97,1.0,1.0,6,7,0.913,0.0,0,0,0.05,0.913,1.0,0.913,6,6,1.0,0.0,1.0,96.667,18,0.733,0.74,0.733,100,0,,130,62,False,True,0.0,none,0,0,0
60,101,scale-free,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,0,0,0.05,0.912,1.0,0.912,6,6,1.0,0.0,1.0,95.0,16,0.699,0.746,0.699,100,0,,160,60,False,True,0.0,none,0,0,0
61,102,scale-free,500,True,True,0.97,1.0,1.0,6,7,0.914,0.0,0,0,0.05,0.914,1.0,0.914,6,6,1.0,0.1,1.0,95.0,20,0.693,0.759,0.693,100,0,,180,61,False,True,0.0,none,0,0,0
62,103,scale-free,500,True,True,0.959,1.0,1.0,6,7,0.909,0.0,1,0,0.05,0.909,1.0,0.909,6,6,1.0,0.0,1.0,96.667,18,0.714,0.753,0.714,100,0,,170,60,False,True,0.0,none,0,0,0
63,104,scale-free,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.05,0.91,1.0,0.91,6,6,1.0,0.095,1.0,96.667,21,0.677,0.726,0.677,100,0,,160,60,False,True,0.0,none,0,0,0
64,105,scale-free,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.05,0.91,1.0,0.91,6,6,1.0,0.15,1.0,95.0,20,0.71,0.774,0.71,100,0,,140,60,False,True,0.0,none,0,0,0
65,106,scale-free,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.05,0.91,1.0,0.91,6,6,1.0,0.0,1.0,96.667,18,0.71,0.749,0.71,100,0,,150,60,False,True,0.0,none,0,0,0
66,107,scale-free,500,True,True,0.967,1.0,1.0,6,7,0.912,0.0,0,0,0.05,0.911,1.0,0.912,6,6,1.0,0.053,1.0,91.667,19,0.68,0.734,0.68,100,0,,180,60,False,True,0.0,none,0,0,0
67,108,scale-free,500,True,True,0.968,1.0,1.0,6,7,0.908,0.0,2,0,0.05,0.908,1.0,0.908,6,6,1.0,0.0,1.0,93.333,20,0.668,0.753,0.668,100,0,,190,59,False,True,0.0,none,0,0,0
68,109,scale-free,500,True,True,0.969,1.0,1.0,6,7,0.914,0.0,2,0,0.05,0.914,1.0,0.914,6,6,1.0,0.0,1.0,98.333,20,0.705,0.766,0.705,100,0,,170,62,False,True,0.0,none,0,0,0
69,110,scale-free,500,True,True,0.962,1.0,1.0,6,7,0.912,0.25,4,1,0.05,0.91,1.0,0.912,6,6,1.0,0.095,1.0,95.0,25,0.65,0.738,0.65,100,0,,220,61,False,True,0.0,none,0,0,0
70,111,scale-free,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,1,0,0.05,0.91,1.0,0.91,6,6,1.0,0.0,1.0,100.0,19,0.713,0.765,0.713,100,0,,160,61,False,True,0.0,none,0,0,0
71,112,scale-free,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.05,0.91,1.0,0.91,6,6,1.0,0.056,1.0,91.667,19,0.691,0.743,0.691,100,0,,190,61,False,True,0.0,none,0,0,0
72,113,scale-free,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,1,0,0.05,0.912,1.0,0.912,6,6,1.0,0.0,1.0,96.667,18,0.672,0.741,0.672,100,0,,180,62,False,True,0.0,none,0,0,0
73,114,scale-free,500,True,True,0.967,1.0,1.0,6,7,0.913,0.0,1,0,0.05,0.913,1.0,0.913,6,6,1.0,0.0,1.0,95.0,18,0.7,0.743,0.7,100,0,,170,62,False,True,0.0,none,0,0,0
74,115,scale-free,500,True,True,0.97,1.0,1.0,6,7,0.914,0.0,0,0,0.05,0.914,1.0,0.914,6,6,1.0,0.0,1.0,108.333,19,0.721,0.768,0.721,100,0,,140,63,False,True,0.0,none,0,0,0
75,116,scale-free,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,1,0,0.05,0.91,1.0,0.91,6,6,1.0,0.053,1.0,95.0,19,0.699,0.714,0.699,100,0,,160,59,False,True,0.0,none,0,0,0
76,117,scale-free,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.05,0.91,1.0,0.91,6,6,1.0,0.05,1.0,93.333,20,0.712,0.744,0.712,100,0,,160,60,False,True,0.0,none,0,0,0
77,118,scale-free,500,True,True,0.97,1.0,1.0,6,7,0.913,0.0,0,0,0.05,0.913,1.0,0.913,6,6,1.0,0.0,1.0,98.333,18,0.734,0.778,0.734,100,0,,120,61,False,True,0.0,none,0,0,0
78,119,scale-free,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,1,0,0.05,0.909,1.0,0.909,6,6,1.0,0.053,1.0,93.333,19,0.702,0.773,0.702,100,0,,170,60,False,True,0.0,none,0,0,0
79,120,scale-free,500,True,True,0.947,1.0,1.0,7,7,0.91,0.333,3,1,0.05,0.91,1.0,0.91,6,6,1.0,0.115,1.0,91.667,26,0.662,0.758,0.662,100,0,,200,59,False,True,0.0,none,0,0,0
80,121,scale-free,500,True,True,0.97,1.0,1.0,6,7,0.914,0.0,0,0,0.05,0.914,1.0,0.914,6,6,1.0,0.095,1.0,93.333,21,0.638,0.726,0.638,100,0,,200,63,False,True,0.0,none,0,0,0
81,122,scale-free,500,True,True,0.968,1.0,1.0,6,7,0.908,0.0,1,0,0.05,0.907,1.0,0.908,6,6,1.0,0.0,1.0,93.333,18,0.671,0.75,0.671,100,0,,200,59,False,True,0.0,none,0,0,0
82,123,scale-free,500,True,True,0.971,1.0,1.0,6,7,0.917,0.0,0,0,0.05,0.913,0.985,0.917,6,6,1.0,0.0,1.0,96.667,19,0.713,0.77,0.713,100,0,,140,62,False,True,0.0,none,0,0,0
83,124,scale-free,500,True,True,0.97,1.0,1.0,6,7,0.913,0.0,1,0,0.05,0.913,1.0,0.913,6,6,1.0,0.05,1.0,96.667,20,0.716,0.753,0.716,100,0,,150,61,False,True,0.0,none,0,0,0
84,125,scale-free,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.05,0.91,1.0,0.91,6,6,1.0,0.0,1.0,95.0,18,0.691,0.749,0.691,100,0,,180,61,False,True,0.0,none,0,0,0
85,126,scale-free,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,1,0,0.05,0.91,1.0,0.91,6,6,1.0,0.0,1.0,93.333,18,0.72,0.752,0.72,100,0,,140,61,False,True,0.0,none,0,0,0
86,127,scale-free,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.05,0.909,1.0,0.909,6,6,1.0,0.048,1.0,96.667,23,0.684,0.73,0.684,100,0,,190,61,False,True,0.0,none,0,0,0
87,128,scale-free,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.05,0.909,1.0,0.909,6,6,1.0,0.0,1.0,98.333,18,0.72,0.771,0.72,100,0,,140,61,False,True,0.0,none,0,0,0
88,129,scale-free,500,True,True,0.966,1.0,1.0,6,7,0.913,0.0,0,0,0.05,0.909,0.984,0.913,6,6,1.0,0.048,1.0,95.0,21,0.703,0.755,0.703,100,0,,160,61,False,True,0.0,none,0,0,0
89,130,scale-free,500,True,True,0.964,1.0,1.0,6,7,0.909,0.0,1,0,0.05,0.908,1.0,0.909,6,6,1.0,0.0,1.0,93.333,18,0.681,0.774,0.681,100,0,,190,60,False,True,0.0,none,0,0,0
90,131,scale-free,500,True,True,0.968,1.0,1.0,6,7,0.908,0.0,0,0,0.05,0.908,1.0,0.908,6,6,1.0,0.0,1.0,93.333,26,0.654,0.741,0.654,100,0,,170,60,False,True,0.0,none,0,0,0
91,132,scale-free,500,True,True,0.968,1.0,1.0,6,7,0.91,0.0,1,0,0.05,0.91,1.0,0.91,6,6,1.0,0.25,1.0,96.667,28,0.653,0.743,0.653,100,0,,200,61,False,True,0.0,none,0,0,0
92,133,scale-free,500,True,True,0.969,1.0,1.0,7,7,0.912,0.333,3,1,0.05,0.912,1.0,0.912,6,6,1.0,0.111,1.0,91.667,27,0.618,0.721,0.618,100,0,,220,61,False,True,0.0,none,0,0,0
93,134,scale-free,500,True,True,0.952,1.0,1.0,9,9,0.859,0.5,2,1,0.05,0.887,0.966,0.886,6,6,1.0,0.13,1.0,95.0,25,0.684,0.752,0.684,100,0,,200,54,False,True,0.0,none,0,0,0
94,135,scale-free,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.05,0.909,1.0,0.909,6,6,1.0,0.182,1.0,96.667,23,0.697,0.721,0.697,100,0,,140,62,False,True,0.0,none,0,0,0
95,136,scale-free,500,True,True,0.968,1.0,1.0,6,7,0.908,0.0,3,0,0.05,0.908,1.0,0.908,6,6,1.0,0.125,1.0,96.667,24,0.658,0.762,0.658,100,0,,210,59,False,True,0.0,none,0,0,0
96,137,scale-free,500,True,True,0.969,1.0,1.0,7,7,0.91,0.5,2,1,0.05,0.91,1.0,0.91,6,6,1.0,0.048,1.0,93.333,26,0.694,0.746,0.694,100,0,,170,60,False,True,0.0,none,0,0,0
97,138,scale-free,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.05,0.91,1.0,0.91,6,6,1.0,0.0,1.0,96.667,19,0.701,0.763,0.701,100,0,,160,60,False,True,0.0,none,0,0,0
98,139,scale-free,500,True,True,0.97,1.0,1.0,6,7,0.914,0.0,1,0,0.05,0.912,1.0,0.914,6,6,1.0,0.045,1.0,95.0,22,0.637,0.698,0.637,100,0,,200,60,False,True,0.0,none,0,0,0
99,140,scale-free,500,True,True,0.967,1.0,1.0,6,7,0.909,0.5,2,1,0.05,0.909,1.0,0.909,6,6,1.0,0.0,1.0,96.667,22,0.68,0.774,0.68,100,0,,190,60,False,True,0.0,none,0,0,0
100,141,scale-free,500,True,True,0.97,1.0,1.0,6,7,0.913,0.0,0,0,0.05,0.913,1.0,0.913,6,6,1.0,0.053,1.0,93.333,19,0.665,0.748,0.665,100,0,,190,62,False,True,0.0,none,0,0,0
