run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_recovered_node_rate,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,reconnection_rate,signal_propagation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,time_to_recovery,recovered_network_size,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
67,108,random,500,True,True,0.967,1.0,1.0,6,7,0.912,0.0,0,0,0.1,0.912,1.0,0.912,6,6,1.0,0.0,1.0,100.0,18,0.744,0.753,0.744,100,,160,60,65,True,False,0.0,none,0,0,0
68,109,random,500,True,True,0.964,1.0,1.0,6,7,0.91,0.0,0,0,0.1,0.91,1.0,0.91,6,6,1.0,0.0,1.0,100.0,18,0.746,0.766,0.746,100,,160,60,66,True,False,0.0,none,0,0,0
69,110,random,500,True,True,0.97,1.0,1.0,6,8,0.9,0.0,0,0,0.1,0.911,0.984,0.914,6,6,1.0,0.0,0.984,100.0,18,0.738,0.738,0.757,100,,150,50,65,True,False,0.0,none,0,0,0
70,111,random,500,True,True,0.963,1.0,1.0,6,7,0.908,0.0,0,0,0.1,0.908,1.0,0.908,6,6,1.0,0.0,1.0,100.0,18,0.749,0.765,0.749,100,,160,60,66,True,False,0.0,none,0,0,0
71,112,random,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.1,0.909,1.0,0.909,6,6,1.0,0.0,1.0,100.0,18,0.727,0.743,0.727,100,,170,70,65,True,False,0.0,none,0,0,0
72,113,random,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.1,0.909,1.0,0.909,6,6,1.0,0.0,1.0,100.0,18,0.741,0.741,0.77,100,,140,40,66,True,False,0.0,none,0,0,0
73,114,random,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,1,0,0.1,0.909,1.0,0.909,6,6,1.0,0.0,1.0,100.0,18,0.728,0.743,0.728,100,,190,90,65,True,False,0.0,none,0,0,0
74,115,random,500,True,True,0.97,1.0,1.0,6,7,0.913,0.0,0,0,0.1,0.913,1.0,0.913,6,6,1.0,0.0,1.0,100.0,18,0.759,0.768,0.759,100,,150,50,68,True,False,0.0,none,0,0,0
75,116,random,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.1,0.91,1.0,0.91,6,6,1.0,0.0,1.0,100.0,17,0.714,0.714,0.746,100,,170,70,65,True,False,0.0,none,0,0,0
76,117,random,500,True,True,0.97,1.0,1.0,6,7,0.914,0.0,0,0,0.1,0.911,0.984,0.914,6,6,1.0,0.0,1.0,100.0,18,0.744,0.744,0.748,100,,170,70,66,True,False,0.0,none,0,0,0
77,118,random,500,True,True,0.966,1.0,1.0,6,7,0.914,0.0,1,0,0.1,0.914,1.0,0.914,6,6,1.0,0.0,1.0,100.0,17,0.753,0.778,0.753,100,,160,60,66,True,False,0.0,none,0,0,0
78,119,random,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.1,0.909,1.0,0.909,6,6,1.0,0.0,1.0,100.0,18,0.751,0.773,0.751,100,,160,60,66,True,False,0.0,none,0,0,0
79,120,random,500,True,True,0.97,1.0,1.0,6,7,0.913,0.0,0,0,0.1,0.913,1.0,0.913,6,6,1.0,0.0,1.0,100.0,18,0.758,0.758,0.765,100,,150,50,68,True,False,0.0,none,0,0,0
80,121,random,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.1,0.909,1.0,0.909,6,6,1.0,0.0,1.0,100.0,18,0.726,0.726,0.744,100,,160,60,65,True,False,0.0,none,0,0,0
81,122,random,500,True,True,0.967,1.0,1.0,6,7,0.906,0.0,0,0,0.1,0.906,1.0,0.906,6,6,1.0,0.0,1.0,100.0,16,0.742,0.75,0.742,100,,160,60,65,True,False,0.0,none,0,0,0
82,123,random,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.1,0.91,1.0,0.91,6,6,1.0,0.0,1.0,100.0,18,0.746,0.77,0.746,100,,170,70,66,True,False,0.0,none,0,0,0
83,124,random,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.1,0.909,1.0,0.909,6,6,1.0,0.053,1.0,100.0,19,0.753,0.753,0.754,100,,160,60,65,True,False,0.0,none,0,0,0
84,125,random,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,0,0,0.1,0.912,1.0,0.912,6,6,1.0,0.0,1.0,100.0,18,0.749,0.749,0.753,100,,160,60,66,True,False,0.0,none,0,0,0
85,126,random,500,True,True,0.97,1.0,1.0,6,7,0.915,0.0,0,0,0.1,0.915,1.0,0.915,6,6,1.0,0.0,1.0,100.0,18,0.738,0.752,0.738,100,,170,70,67,True,False,0.0,none,0,0,0
86,127,random,500,True,True,0.968,1.0,1.0,6,7,0.908,0.0,0,0,0.1,0.908,1.0,0.908,6,6,1.0,0.0,1.0,100.0,18,0.73,0.73,0.746,100,,160,60,66,True,False,0.0,none,0,0,0
87,128,random,500,True,True,0.966,1.0,1.0,6,7,0.913,0.0,0,0,0.1,0.913,1.0,0.913,6,6,1.0,0.0,1.0,100.0,18,0.758,0.771,0.758,100,,160,60,66,True,False,0.0,none,0,0,0
88,129,random,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.1,0.91,1.0,0.91,6,6,1.0,0.0,1.0,100.0,18,0.729,0.755,0.729,100,,180,80,66,True,False,0.0,none,0,0,0
89,130,random,500,True,True,0.964,1.0,1.0,6,7,0.909,0.0,0,0,0.1,0.909,1.0,0.909,6,6,1.0,0.0,1.0,100.0,18,0.768,0.774,0.768,100,,140,40,67,True,False,0.0,none,0,0,0
90,131,random,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,0,0,0.1,0.912,1.0,0.912,6,6,1.0,0.0,1.0,100.0,18,0.741,0.741,0.759,100,,160,60,66,True,False,0.0,none,0,0,0
91,132,random,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.1,0.91,1.0,0.91,6,6,1.0,0.0,1.0,100.0,17,0.743,0.743,0.749,100,,170,70,67,True,False,0.0,none,0,0,0
92,133,random,500,True,True,0.95,1.0,1.0,6,7,0.909,0.0,1,0,0.1,0.909,1.0,0.909,6,6,1.0,0.0,1.0,100.0,18,0.721,0.721,0.752,100,,150,50,66,True,False,0.0,none,0,0,0
93,134,random,500,True,True,0.971,1.0,1.0,6,7,0.917,0.0,0,0,0.1,0.917,1.0,0.917,6,6,1.0,0.0,1.0,100.0,17,0.727,0.752,0.727,100,,190,90,67,True,False,0.0,none,0,0,0
94,135,random,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,1,0,0.1,0.912,1.0,0.912,6,6,1.0,0.118,1.0,100.0,20,0.721,0.721,0.737,100,,180,80,66,True,False,0.0,none,0,0,0
95,136,random,500,True,True,0.965,1.0,1.0,6,7,0.914,0.0,0,0,0.1,0.913,1.0,0.914,6,6,1.0,0.0,1.0,100.0,18,0.75,0.762,0.75,100,,150,50,67,True,False,0.0,none,0,0,0
96,137,random,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.1,0.909,1.0,0.91,6,6,1.0,0.0,1.0,100.0,18,0.746,0.746,0.754,100,,160,60,66,True,False,0.0,none,0,0,0
97,138,random,500,True,True,0.968,1.0,1.0,6,8,0.894,0.0,0,0,0.1,0.909,1.0,0.909,6,6,1.0,0.0,0.983,100.0,18,0.747,0.763,0.747,100,,160,60,65,True,False,0.0,none,0,0,0
98,139,random,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,0,0,0.1,0.911,1.0,0.912,6,6,1.0,0.0,1.0,100.0,17,0.698,0.698,0.744,100,,160,60,65,True,False,0.0,none,0,0,0
99,140,random,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.1,0.909,1.0,0.909,6,6,1.0,0.0,1.0,111.667,19,0.741,0.774,0.741,100,,160,60,65,True,False,0.0,none,0,0,0
100,141,random,500,True,True,0.968,1.0,1.0,6,8,0.892,0.0,0,0,0.1,0.908,1.0,0.908,6,6,1.0,0.0,0.983,100.0,18,0.748,0.748,0.756,100,,150,50,64,True,False,0.0,none,0,0,0
