batch_id,run_index,seed,recheck_interval,detection_delay,misclassification_rate,first_centralizing_step,detected_centralizing_step,centralizing_latency_steps,first_star_adjacent_step,detected_star_adjacent_step,star_adjacent_latency_steps,wrong_monitoring_steps,star_adjacent_undetected_steps
grand_sim_v0_3,7,107497,5,10,0.1,55,65,10,80,90,10,20,10
grand_sim_v0_3,8,107498,5,10,0.1,55,70,15,80,90,10,25,10
grand_sim_v0_3,9,107499,5,10,0.1,55,65,10,80,90,10,20,10
grand_sim_v0_3,0,107500,5,10,0.25,55,65,10,80,90,10,20,10
grand_sim_v0_3,1,107501,5,10,0.25,55,70,15,80,95,15,30,15
grand_sim_v0_3,2,107502,5,10,0.25,55,65,10,80,100,20,30,20
grand_sim_v0_3,3,107503,5,10,0.25,55,65,10,80,100,20,30,20
grand_sim_v0_3,4,107504,5,10,0.25,55,65,10,80,95,15,25,15
grand_sim_v0_3,5,107505,5,10,0.25,55,75,20,80,95,15,35,15
grand_sim_v0_3,6,107506,5,10,0.25,55,75,20,80,90,10,30,10
grand_sim_v0_3,7,107507,5,10,0.25,55,70,15,80,90,10,25,10
grand_sim_v0_3,8,107508,5,10,0.25,55,65,10,80,90,10,20,10
grand_sim_v0_3,9,107509,5,10,0.25,55,65,10,80,90,10,20,10
grand_sim_v0_3,0,107510,5,20,0.0,55,75,20,80,100,20,40,20
grand_sim_v0_3,1,107511,5,20,0.0,55,75,20,80,100,20,40,20
grand_sim_v0_3,2,107512,5,20,0.0,55,75,20,80,100,20,40,20
grand_sim_v0_3,3,107513,5,20,0.0,55,75,20,80,100,20,40,20
grand_sim_v0_3,4,107514,5,20,0.0,55,75,20,80,100,20,40,20
grand_sim_v0_3,5,107515,5,20,0.0,55,75,20,80,100,20,40,20
grand_sim_v0_3,6,107516,5,20,0.0,55,75,20,80,100,20,40,20
grand_sim_v0_3,7,107517,5,20,0.0,55,75,20,80,100,20,40,20
grand_sim_v0_3,8,107518,5,20,0.0,55,75,20,80,100,20,40,20
grand_sim_v0_3,9,107519,5,20,0.0,55,75,20,80,100,20,40,20
grand_sim_v0_3,0,107520,5,20,0.1,55,,,80,100,20,45,20
grand_sim_v0_3,1,107521,5,20,0.1,55,75,20,80,100,20,40,20
grand_sim_v0_3,2,107522,5,20,0.1,55,75,20,80,100,20,40,20
grand_sim_v0_3,3,107523,5,20,0.1,55,75,20,80,100,20,40,20
grand_sim_v0_3,4,107524,5,20,0.1,55,75,20,80,100,20,40,20
grand_sim_v0_3,5,107525,5,20,0.1,55,75,20,80,100,20,40,20
grand_sim_v0_3,6,107526,5,20,0.1,55,75,20,80,100,20,40,20
grand_sim_v0_3,7,107527,5,20,0.1,55,75,20,80,100,20,40,20
grand_sim_v0_3,8,107528,5,20,0.1,55,75,20,80,100,20,40,20
grand_sim_v0_3,9,107529,5,20,0.1,55,,,80,100,20,45,20
grand_sim_v0_3,0,107530,5,20,0.25,55,75,20,80,100,20,40,20
grand_sim_v0_3,1,107531,5,20,0.25,55,75,20,80,100,20,40,20
grand_sim_v0_3,2,107532,5,20,0.25,55,75,20,80,100,20,40,20
grand_sim_v0_3,3,107533,5,20,0.25,55,75,20,80,100,20,40,20
grand_sim_v0_3,4,107534,5,20,0.25,55,,,80,100,20,45,20
grand_sim_v0_3,5,107535,5,20,0.25,55,75,20,80,100,20,40,20
grand_sim_v0_3,6,107536,5,20,0.25,55,75,20,80,105,25,45,25
grand_sim_v0_3,7,107537,5,20,0.25,55,,,80,100,20,45,20
grand_sim_v0_3,8,107538,5,20,0.25,55,75,20,80,100,20,40,20
grand_sim_v0_3,9,107539,5,20,0.25,55,,,80,105,25,50,25
grand_sim_v0_3,0,107540,10,0,0.0,55,60,5,80,80,0,5,0
grand_sim_v0_3,1,107541,10,0,0.0,55,60,5,80,80,0,5,0
grand_sim_v0_3,2,107542,10,0,0.0,55,60,5,80,80,0,5,0
grand_sim_v0_3,3,107543,10,0,0.0,55,60,5,80,80,0,5,0
grand_sim_v0_3,4,107544,10,0,0.0,55,60,5,80,80,0,5,0
grand_sim_v0_3,5,107545,10,0,0.0,55,60,5,80,80,0,5,0
grand_sim_v0_3,6,107546,10,0,0.0,55,60,5,80,80,0,5,0
grand_sim_v0_3,7,107547,10,0,0.0,55,60,5,80,80,0,5,0
grand_sim_v0_3,8,107548,10,0,0.0,55,60,5,80,80,0,5,0
grand_sim_v0_3,9,107549,10,0,0.0,55,60,5,80,80,0,5,0
grand_sim_v0_3,0,107550,10,0,0.1,55,60,5,80,80,0,5,0
grand_sim_v0_3,1,107551,10,0,0.1,55,60,5,80,80,0,5,0
grand_sim_v0_3,2,107552,10,0,0.1,55,60,5,80,80,0,5,0
grand_sim_v0_3,3,107553,10,0,0.1,55,60,5,80,80,0,5,0
grand_sim_v0_3,4,107554,10,0,0.1,55,60,5,80,80,0,5,0
grand_sim_v0_3,5,107555,10,0,0.1,55,60,5,80,80,0,5,0
grand_sim_v0_3,6,107556,10,0,0.1,55,60,5,80,90,10,15,10
grand_sim_v0_3,7,107557,10,0,0.1,55,60,5,80,80,0,5,0
grand_sim_v0_3,8,107558,10,0,0.1,55,60,5,80,80,0,5,0
grand_sim_v0_3,9,107559,10,0,0.1,55,60,5,80,80,0,5,0
grand_sim_v0_3,0,107560,10,0,0.25,55,70,15,80,80,0,15,0
grand_sim_v0_3,1,107561,10,0,0.25,55,60,5,80,80,0,5,0
grand_sim_v0_3,2,107562,10,0,0.25,55,70,15,80,80,0,15,0
grand_sim_v0_3,3,107563,10,0,0.25,55,60,5,80,80,0,5,0
grand_sim_v0_3,4,107564,10,0,0.25,55,60,5,80,80,0,5,0
grand_sim_v0_3,5,107565,10,0,0.25,55,60,5,80,80,0,5,0
grand_sim_v0_3,6,107566,10,0,0.25,55,70,15,80,80,0,15,0
grand_sim_v0_3,7,107567,10,0,0.25,55,70,15,80,80,0,15,0
grand_sim_v0_3,8,107568,10,0,0.25,55,60,5,80,80,0,5,0
grand_sim_v0_3,9,107569,10,0,0.25,55,60,5,80,80,0,5,0
grand_sim_v0_3,0,107570,10,5,0.0,55,60,5,80,90,10,15,10
grand_sim_v0_3,1,107571,10,5,0.0,55,60,5,80,90,10,15,10
grand_sim_v0_3,2,107572,10,5,0.0,55,60,5,80,90,10,15,10
grand_sim_v0_3,3,107573,10,5,0.0,55,60,5,80,90,10,15,10
grand_sim_v0_3,4,107574,10,5,0.0,55,60,5,80,90,10,15,10
grand_sim_v0_3,5,107575,10,5,0.0,55,60,5,80,90,10,15,10
grand_sim_v0_3,6,107576,10,5,0.0,55,60,5,80,90,10,15,10
grand_sim_v0_3,7,107577,10,5,0.0,55,60,5,80,90,10,15,10
grand_sim_v0_3,8,107578,10,5,0.0,55,60,5,80,90,10,15,10
grand_sim_v0_3,9,107579,10,5,0.0,55,60,5,80,90,10,15,10
grand_sim_v0_3,0,107580,10,5,0.1,55,60,5,80,90,10,15,10
grand_sim_v0_3,1,107581,10,5,0.1,55,60,5,80,90,10,15,10
grand_sim_v0_3,2,107582,10,5,0.1,55,60,5,80,90,10,15,10
grand_sim_v0_3,3,107583,10,5,0.1,55,60,5,80,90,10,15,10
grand_sim_v0_3,4,107584,10,5,0.1,55,60,5,80,90,10,15,10
grand_sim_v0_3,5,107585,10,5,0.1,55,60,5,80,90,10,15,10
grand_sim_v0_3,6,107586,10,5,0.1,55,60,5,80,90,10,15,10
grand_sim_v0_3,7,107587,10,5,0.1,55,60,5,80,90,10,15,10
grand_sim_v0_3,8,107588,10,5,0.1,55,60,5,80,90,10,15,10
grand_sim_v0_3,9,107589,10,5,0.1,55,70,15,80,100,20,35,20
grand_sim_v0_3,0,107590,10,5,0.25,55,60,5,80,90,10,15,10
grand_sim_v0_3,1,107591,10,5,0.25,55,60,5,80,100,20,25,20
grand_sim_v0_3,2,107592,10,5,0.25,55,60,5,80,90,10,15,10
grand_sim_v0_3,3,107593,10,5,0.25,55,60,5,80,90,10,15,10
grand_sim_v0_3,4,107594,10,5,0.25,55,60,5,80,90,10,15,10
grand_sim_v0_3,5,107595,10,5,0.25,55,60,5,80,90,10,15,10
grand_sim_v0_3,6,107596,10,5,0.25,55,60,5,80,90,10,15,10
grand_sim_v0_3,7,107597,10,5,0.25,55,70,15,80,90,10,25,10
grand_sim_v0_3,8,107598,10,5,0.25,55,60,5,80,90,10,15,10
grand_sim_v0_3,9,107599,10,5,0.25,55,60,5,80,90,10,15,10
grand_sim_v0_3,0,107600,10,10,0.0,55,70,15,80,90,10,25,10
grand_sim_v0_3,1,107601,10,10,0.0,55,70,15,80,90,10,25,10
grand_sim_v0_3,2,107602,10,10,0.0,55,70,15,80,90,10,25,10
grand_sim_v0_3,3,107603,10,10,0.0,55,70,15,80,90,10,25,10
grand_sim_v0_3,4,107604,10,10,0.0,55,70,15,80,90,10,25,10
grand_sim_v0_3,5,107605,10,10,0.0,55,70,15,80,90,10,25,10
grand_sim_v0_3,6,107606,10,10,0.0,55,70,15,80,90,10,25,10
grand_sim_v0_3,7,107607,10,10,0.0,55,70,15,80,90,10,25,10
grand_sim_v0_3,8,107608,10,10,0.0,55,70,15,80,90,10,25,10
grand_sim_v0_3,9,107609,10,10,0.0,55,70,15,80,90,10,25,10
grand_sim_v0_3,0,107610,10,10,0.1,55,70,15,80,100,20,35,20
grand_sim_v0_3,1,107611,10,10,0.1,55,70,15,80,90,10,25,10
grand_sim_v0_3,2,107612,10,10,0.1,55,70,15,80,90,10,25,10
grand_sim_v0_3,3,107613,10,10,0.1,55,70,15,80,90,10,25,10
grand_sim_v0_3,4,107614,10,10,0.1,55,70,15,80,90,10,25,10
grand_sim_v0_3,5,107615,10,10,0.1,55,70,15,80,100,20,35,20
grand_sim_v0_3,6,107616,10,10,0.1,55,70,15,80,90,10,25,10
grand_sim_v0_3,7,107617,10,10,0.1,55,70,15,80,100,20,35,20
grand_sim_v0_3,8,107618,10,10,0.1,55,70,15,80,90,10,25,10
grand_sim_v0_3,9,107619,10,10,0.1,55,70,15,80,90,10,25,10
grand_sim_v0_3,0,107620,10,10,0.25,55,70,15,80,90,10,25,10
grand_sim_v0_3,1,107621,10,10,0.25,55,70,15,80,90,10,25,10
grand_sim_v0_3,2,107622,10,10,0.25,55,,,80,100,20,45,20
grand_sim_v0_3,3,107623,10,10,0.25,55,70,15,80,100,20,35,20
grand_sim_v0_3,4,107624,10,10,0.25,55,70,15,80,100,20,35,20
grand_sim_v0_3,5,107625,10,10,0.25,55,70,15,80,100,20,35,20
grand_sim_v0_3,6,107626,10,10,0.25,55,70,15,80,90,10,25,10
grand_sim_v0_3,7,107627,10,10,0.25,55,70,15,80,90,10,25,10
grand_sim_v0_3,8,107628,10,10,0.25,55,,,80,90,10,35,10
grand_sim_v0_3,9,107629,10,10,0.25,55,70,15,80,90,10,25,10
grand_sim_v0_3,0,107630,10,20,0.0,55,,,80,100,20,45,20
