batch_id,weight_profile,psi_lambda,psi_lambda_locked,psi_threshold,positive_runs,negative_runs,detected_true_positive_rate,on_time_true_positive_rate,missed_detection_rate,false_positive_rate,avg_lead_steps,avg_lag_steps,accepted_candidate,recommended_locked_candidate
grand_sim_v0_3,trust_stability,0.05,0,0.5,80,40,0.75,0.5,0.25,0.0,1.25,8.9,0,0
grand_sim_v0_3,trust_stability,0.05,0,0.52,80,40,0.75,0.475,0.25,0.0,0.815789,14.272727,0,0
grand_sim_v0_3,trust_stability,0.05,0,0.54,80,40,0.75,0.45,0.25,0.0,0.416667,25.375,0,0
grand_sim_v0_3,trust_stability,0.05,0,0.56,80,40,0.5,0.2375,0.5,0.0,0.473684,1.095238,0,0
grand_sim_v0_3,trust_stability,0.05,0,0.58,80,40,0.5,0.125,0.5,0.0,0.1,1.166667,0,0
grand_sim_v0_3,trust_stability,0.05,0,0.6,80,40,0.5,0.05,0.5,0.0,0.0,1.305556,0,0
grand_sim_v0_3,trust_stability,0.05,0,0.62,80,40,0.5,0.0125,0.5,0.0,0.0,1.692308,0,0
grand_sim_v0_3,trust_stability,0.05,0,0.64,80,40,0.5,0.0,0.5,0.0,0.0,2.175,0,0
grand_sim_v0_3,trust_stability,0.05,0,0.66,80,40,0.5,0.0,0.5,0.0,0.0,3.125,0,0
grand_sim_v0_3,trust_stability,0.1,1,0.3,80,40,1.0,1.0,0.0,0.0,11.3375,0.0,1,0
grand_sim_v0_3,trust_stability,0.1,1,0.32,80,40,1.0,1.0,0.0,0.0,9.8375,0.0,1,0
grand_sim_v0_3,trust_stability,0.1,1,0.34,80,40,1.0,1.0,0.0,0.0,8.675,0.0,1,0
grand_sim_v0_3,trust_stability,0.1,1,0.36,80,40,1.0,1.0,0.0,0.0,7.475,0.0,1,0
grand_sim_v0_3,trust_stability,0.1,1,0.38,80,40,1.0,1.0,0.0,0.0,6.0,0.0,1,0
grand_sim_v0_3,trust_stability,0.1,1,0.4,80,40,1.0,1.0,0.0,0.0,4.825,0.0,1,0
grand_sim_v0_3,trust_stability,0.1,1,0.42,80,40,1.0,1.0,0.0,0.0,4.275,0.0,1,0
grand_sim_v0_3,trust_stability,0.1,1,0.44,80,40,1.0,1.0,0.0,0.0,3.125,0.0,1,0
grand_sim_v0_3,trust_stability,0.1,1,0.46,80,40,1.0,0.7625,0.0,0.0,1.213115,3.315789,0,0
grand_sim_v0_3,trust_stability,0.1,1,0.48,80,40,0.875,0.5,0.125,0.0,1.55,9.2,0,0
grand_sim_v0_3,trust_stability,0.1,1,0.5,80,40,0.75,0.5,0.25,0.0,1.25,8.9,0,0
grand_sim_v0_3,trust_stability,0.1,1,0.52,80,40,0.75,0.4875,0.25,0.0,0.820513,14.904762,0,0
grand_sim_v0_3,trust_stability,0.1,1,0.54,80,40,0.75,0.45,0.25,0.0,0.472222,25.375,0,0
